"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2","type"
"41",41,0.981120826709062,0.812727272727273,0.989090909090909,0,416,5000,2,0.01,4,1,"5000 2 0.01 4","5","competence"
"42",42,0.965081880612784,0.858141858141858,0.989010989010989,0.181818181818182,216,5000,2,0.01,4,2,"5000 2 0.01 4","5","competence"
"43",43,0.958478605388273,0.886280386280386,1,0,232,5000,2,0.01,4,3,"5000 2 0.01 4","5","competence"
"44",44,0.970806794055202,0.812726449275362,1,0,277,5000,2,0.01,4,4,"5000 2 0.01 4","5","competence"
"45",45,0.974039938556068,0.865875912408759,0.985401459854015,0,362,5000,2,0.01,4,5,"5000 2 0.01 4","5","competence"
"46",46,0.967263203841117,0.863357843137255,1,0,251,5000,2,0.01,4,6,"5000 2 0.01 4","5","competence"
"47",47,0.977286493034525,0.898884758364312,0.992565055762082,0.266666666666667,321,5000,2,0.01,4,7,"5000 2 0.01 4","5","competence"
"48",48,0.959460934089917,0.878982843137255,0.99264705882353,0,203,5000,2,0.01,4,8,"5000 2 0.01 4","5","competence"
"49",49,0.967263203841117,0.845128676470588,1,0.0833333333333333,296,5000,2,0.01,4,9,"5000 2 0.01 4","5","competence"
"50",50,0.988930817610063,0.808418843283582,0.977611940298508,0.125,401,5000,2,0.01,4,10,"5000 2 0.01 4","5","competence"
"51",51,0.986387122416534,0.816969696969697,0.992727272727273,0,3045,5000,3,0.001,4,1,"5000 3 0.001 4","6","competence"
"52",52,0.981141045958796,0.854478854478855,0.992673992673993,0.181818181818182,2538,5000,3,0.001,4,2,"5000 3 0.001 4","6","competence"
"53",53,0.973956682514527,0.888444888444888,1,0.0909090909090909,2573,5000,3,0.001,4,3,"5000 3 0.001 4","6","competence"
"54",54,0.975149585022197,0.822916666666667,1,0,2122,5000,3,0.001,4,4,"5000 3 0.001 4","6","competence"
"55",55,0.981413210445468,0.856569343065693,0.989051094890511,0,2964,5000,3,0.001,4,5,"5000 3 0.001 4","6","competence"
"56",56,0.97812090790048,0.871017156862745,1,0,2091,5000,3,0.001,4,6,"5000 3 0.001 4","6","competence"
"57",57,0.986311326468807,0.903841387856258,0.996282527881041,0.2,2416,5000,3,0.001,4,7,"5000 3 0.001 4","6","competence"
"58",58,0.967426887821912,0.878063725490196,0.996323529411765,0,1892,5000,3,0.001,4,8,"5000 3 0.001 4","6","competence"
"59",59,0.973810563072894,0.856924019607843,0.996323529411765,0.0833333333333333,2538,5000,3,0.001,4,9,"5000 3 0.001 4","6","competence"
"60",60,0.990377358490566,0.820429104477612,0.985074626865672,0.125,2939,5000,3,0.001,4,10,"5000 3 0.001 4","6","competence"
"61",61,0.985343799682035,0.813535353535354,0.992727272727273,0,267,5000,3,0.01,4,1,"5000 3 0.01 4","7","competence"
"62",62,0.971051241415742,0.841824841824842,0.989010989010989,0.181818181818182,189,5000,3,0.01,4,2,"5000 3 0.01 4","7","competence"
"63",63,0.973269941891178,0.871461871461871,0.996336996336996,0.0909090909090909,251,5000,3,0.01,4,3,"5000 3 0.01 4","7","competence"
"64",64,0.977610499903494,0.82223731884058,1,0,186,5000,3,0.01,4,4,"5000 3 0.01 4","7","competence"
"65",65,0.979723502304148,0.868978102189781,0.989051094890511,0,308,5000,3,0.01,4,5,"5000 3 0.01 4","7","competence"
"66",66,0.979321257092972,0.861060049019608,1,0,224,5000,3,0.01,4,6,"5000 3 0.01 4","7","competence"
"67",67,0.982071471835251,0.906691449814126,0.996282527881041,0.0666666666666667,207,5000,3,0.01,4,7,"5000 3 0.01 4","7","competence"
"68",68,0.968490833697076,0.876838235294118,0.99264705882353,0,220,5000,3,0.01,4,8,"5000 3 0.01 4","7","competence"
"69",69,0.972964862505456,0.858302696078431,0.996323529411765,0.0833333333333333,214,5000,3,0.01,4,9,"5000 3 0.01 4","7","competence"
"70",70,0.989433962264151,0.811567164179104,0.985074626865672,0.125,258,5000,3,0.01,4,10,"5000 3 0.01 4","7","competence"
"71",71,0.99031200317965,0.816161616161616,0.996363636363636,0,2452,5000,4,0.001,4,1,"5000 4 0.001 4","8","competence"
"72",72,0.98404648705758,0.855477855477855,0.996336996336996,0.181818181818182,2034,5000,4,0.001,4,2,"5000 4 0.001 4","8","competence"
"73",73,0.981405176967776,0.885447885447885,1,0.0909090909090909,2206,5000,4,0.001,4,3,"5000 4 0.001 4","8","competence"
"74",74,0.981808531171589,0.82518115942029,1,0,2030,5000,4,0.001,4,4,"5000 4 0.001 4","8","competence"
"75",75,0.988428059395801,0.848905109489051,0.989051094890511,0,2374,5000,4,0.001,4,5,"5000 4 0.001 4","8","competence"
"76",76,0.985486687036229,0.865808823529412,1,0,1889,5000,4,0.001,4,6,"5000 4 0.001 4","8","competence"
