"","row","trainAUC","testAUC","spec","sen","best","threshold","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2","type"
"1",1,0.999552861685215,0.976969696969697,0.967272727272727,0.555555555555556,11144,0.3,15000,2,5e-04,4,1,"15000 2 5e-04 4","1","competence"
"2",2,0.998837823560486,0.978687978687979,0.974358974358974,0.636363636363636,8072,0.3,15000,2,5e-04,4,2,"15000 2 5e-04 4","1","competence"
"3",3,0.998996302165874,0.985347985347985,0.963369963369963,1,8330,0.3,15000,2,5e-04,4,3,"15000 2 5e-04 4","1","competence"
"4",4,0.9997104806022,0.973278985507246,0.967391304347826,0.5,11860,0.3,15000,2,5e-04,4,4,"15000 2 5e-04 4","1","competence"
"5",5,0.998463901689708,0.980656934306569,0.974452554744526,0.8,8974,0.3,15000,2,5e-04,4,5,"15000 2 5e-04 4","1","competence"
"6",6,0.999672632038411,0.981924019607843,0.959558823529412,0.75,10452,0.3,15000,2,5e-04,4,6,"15000 2 5e-04 4","1","competence"
"7",7,0.998728043609933,0.98364312267658,0.966542750929368,0.8,6514,0.3,15000,2,5e-04,4,7,"15000 2 5e-04 4","1","competence"
"8",8,0.998963334788302,0.981311274509804,0.977941176470588,0.666666666666667,8028,0.3,15000,2,5e-04,4,8,"15000 2 5e-04 4","1","competence"
"9",9,0.99961807071148,0.97640931372549,0.948529411764706,0.75,10251,0.3,15000,2,5e-04,4,9,"15000 2 5e-04 4","1","competence"
"10",10,0.998993710691824,0.979710820895522,0.98134328358209,0.3125,8655,0.3,15000,2,5e-04,4,10,"15000 2 5e-04 4","1","competence"
"11",11,1,0.976161616161616,0.967272727272727,0.555555555555556,9475,0.3,15000,3,5e-04,4,1,"15000 3 5e-04 4","2","competence"
"12",12,0.999683042789223,0.98035298035298,0.970695970695971,0.636363636363636,6690,0.3,15000,3,5e-04,4,2,"15000 3 5e-04 4","2","competence"
"13",13,0.999947173798204,0.983682983682984,0.963369963369963,0.727272727272727,6855,0.3,15000,3,5e-04,4,3,"15000 3 5e-04 4","2","competence"
"14",14,1,0.973731884057971,0.967391304347826,0.375,10335,0.3,15000,3,5e-04,4,4,"15000 3 5e-04 4","2","competence"
"15",15,0.999846390168971,0.97992700729927,0.974452554744526,0.8,7823,0.3,15000,3,5e-04,4,5,"15000 3 5e-04 4","2","competence"
"16",16,0.999945438673069,0.979473039215686,0.966911764705882,0.75,7370,0.3,15000,3,5e-04,4,6,"15000 3 5e-04 4","2","competence"
"17",17,0.999878861296184,0.981908302354399,0.970260223048327,0.8,5516,0.3,15000,3,5e-04,4,7,"15000 3 5e-04 4","2","competence"
"18",18,0.999890877346137,0.980392156862745,0.977941176470588,0.666666666666667,6569,0.3,15000,3,5e-04,4,8,"15000 3 5e-04 4","2","competence"
"19",19,1,0.97671568627451,0.948529411764706,0.75,8060,0.3,15000,3,5e-04,4,9,"15000 3 5e-04 4","2","competence"
"20",20,0.999748427672956,0.979944029850746,0.98134328358209,0.3125,7109,0.3,15000,3,5e-04,4,10,"15000 3 5e-04 4","2","competence"
"21",21,1,0.974949494949495,0.967272727272727,0.555555555555556,8093,0.3,15000,4,5e-04,4,1,"15000 4 5e-04 4","3","competence"
"22",22,1,0.98035298035298,0.970695970695971,0.636363636363636,5786,0.3,15000,4,5e-04,4,2,"15000 4 5e-04 4","3","competence"
"23",23,1,0.982683982683983,0.963369963369963,0.636363636363636,6255,0.3,15000,4,5e-04,4,3,"15000 4 5e-04 4","3","competence"
"24",24,1,0.973278985507246,0.967391304347826,0.375,8869,0.3,15000,4,5e-04,4,4,"15000 4 5e-04 4","3","competence"
"25",25,1,0.97956204379562,0.974452554744526,0.8,6546,0.3,15000,4,5e-04,4,5,"15000 4 5e-04 4","3","competence"
