,Host,gtip,intree,intraits,treename,traitname,proxy,source
1023,Piliocolobus_badius,Piliocolobus,missing,traits,Colobus,,,
1024,NA,Pipanacoctomys,upham,missing,,Tympanoctomys,,https://www.iucnredlist.org/species/136557/78324400#taxonomy
147,NA,Calassomys,upham,missing,,,Delomys,https://academic.oup.com/jmammal/article/95/2/201/860032
955,NA,Paralomys,upham,missing,,Phyllotis,,https://www.iucnredlist.org/species/17226/22333354
970,NA,Pearsonomys,upham,missing,,Geoxus,,https://www.iucnredlist.org/species/40768/22345036
635,NA,Liomys,upham,missing,,Heteromys,,https://www.iucnredlist.org/species/12073/22225128
907,NA,Oreonax,upham,missing,,Lagothrix,,https://www.iucnredlist.org/species/39924/192307818
1076,NA,Pseudalopex,upham,missing,,Lycalopex,,https://www.iucnredlist.org/species/6926/87695615
