"","treename","traitname","pcr","competence","antibodies","tip.label","clade","ord","fam","gen","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","upper_elevation_m","lower_elevation_m","altitude_breadth_m","habitat_breadth_n","X2.1_AgeatEyeOpening_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X7.1_DispersalAge_d","X22.2_HomeRange_Indiv_km2","X13.2_NeonateHeadBodyLen_mm","X10.1_PopulationGrpSize","X13.3_WeaningHeadBodyLen_mm","hibernation_torpor","fossoriality","freshwater","marine","terrestrial_non.volant","terrestrial_volant","island_dwelling","disected_by_mountains","glaciation","trophic_herbivores","trophic_omnivores","trophic_carnivores","activity_nocturnal","activity_crepuscular","activity_diurnal","forager_marine","forager_ground","forager_scansorial","forager_arboreal","forager_aerial","island_end_marine","island_end_mainland","island_end_lgbridge","island_end_isolated","biogeo_afrotropical","biogeo_antarctic","biogeo_australasian","biogeo_indomalayan","biogeo_nearctic","biogeo_neotropical","biogeo_oceanian","biogeo_palearctic","cites","ed_equal"
"58","Nasua","Nasua",0,0,1,"Nasua","Caniformes","Carnivora","Procyonidae","Nasua",3875,38.356,614.4075,NA,9143.25,925.43,748.955,721,1001.15,75.973,NA,3.99,1.1,364.75,141.2275,106.5,730,2886.4355,2.2325,30.1765,0.785,NA,30.5,16,53.5,10,20,0,0,0,0,70,0,0,0,2,2500,0,2500,1.5,6.5,1680.385,4120,365,0.89,NA,NA,NA,0,0.5,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,1,0,0,1726,20.7296606519953
"59","Okapia","Okapia",0,1,0,"Okapia","Ruminantia","Cetartiodactyla","Giraffidae","Okapia",230001.14,475,2075,NA,12227.5,947.05,726.203,790,1397.545,452.583,4,1,0.8,592.639,17375,194,77000,4764.236,21.099,0.5,4.63,1,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1500,450,1050,1,NA,NA,NA,NA,6,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,42,35.8874256493281
"60","Oligoryzomys","Oligoryzomys",1,0,1,"Oligoryzomys","Mouse-related","Rodentia","Cricetidae","Oligoryzomys",25.2,0.9725,171.8065,NA,1102.6525,27.72,61.215,NA,95.95,26.2285,NA,3.7975,4.523,30.0175,3.3,22.96,NA,456.4095,0.14,930.06,0.001,1,30,0,70,30,0,0,0,0,0,30,0,40,0,3,2950,700,2250,2,NA,51.01,28.2,NA,0.000819928,NA,NA,NA,0,0.8,0,0,1,0,0,0.545454545454545,0.181818181818182,0.1,0.9,0,1,0,0,0,1,0,0,0,0,0.95,0,0.05,0,0,0,0,0,1,0,0,216,28.1247129319527
"61","Oryctolagus","Oryctolagus",1,1,0,"Oryctolagus","Lagomorpha","Lagomorpha","Leporidae","Oryctolagus",1900,10.386,450,NA,6570,185.61,185.61,NA,121.66,30.596,NA,5.24,4.415,28.98,39.61,26.15,212.53,1515.354,1.509,1576.667,0.04,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1500,NA,NA,4,10,NA,NA,NA,0.04,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1998,80.0090330925
"62","Pan","Pan",1,0,1,"Pan","Catarrhini","Primates","Hominidae","Pan",40051.725,344.417,828.38,NA,23542.5,4681.84,3462.034,2920,4297.954,232.16,2,1.0375,0.21,1550.313,1572.3925,983.438,8412.5,8212.5,8.0525,1.8615,19.39,67.5,10,0,90,10,0,0,0,0,0,60,0,5,25,2,1745,150,1595,1.5,0,9000,34150,NA,12.5,NA,67.5,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,155202,10.9220776498125
"63","Panthera","Panthera",0,1,1,"Panthera","Feliformes","Carnivora","Felidae","Panthera",128800,236.878,2073.819,NA,10353.833,987.77,1020.645,771,1162.34,105.19,4,2.12,0.877,498.794,820,126,7500,3376.793,54.377,0.066,52.55,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,4500,0,4500,4,8.515,27420.6,155800,619.37,63.735,NA,1,NA,0,1,0,0,1,0,0,0.333333333333333,0,0,0,1,0.142857142857143,0.857142857142857,0,0,1,0,0,0,0,1,0,0,0.285714285714286,0,0,0.571428571428571,0,0.142857142857143,0,0.571428571428571,2206,24.2442205541125
"64","Peromyscus","Peromyscus",1,1,0,"Peromyscus","Mouse-related","Rodentia","Cricetidae","Peromyscus",26.3,0.76,107,NA,1971,53.04,52.988,63,80.68,26,4,3.13,3.69,33.8995,2.315,26.7225,10.5,615.2015,0.147,775,0.0025,1,50,10,40,50,0,0,0,0,10,20,0,20,0,3,2500,700,1390.5,2,15.19,36.98,21.5,39.2,0.002672491,NA,2.8,NA,0.103448275862069,0.25,0,0,1,0,0,0.388888888888889,0.0833333333333333,0.0344827586206897,0.931034482758621,0.0344827586206897,1,0,0,0,1,0,0,0,0,0.827586206896552,0,0.172413793103448,0,0,0,0,0.603448275862069,0.620689655172414,0,0,2616,41.2938365079453
"65","Phocoena","Phocoena",1,0,0,"Phocoena","Whippomorpha","Cetartiodactyla","Phocoenidae","Phocoena",56365.46,617.997,1632.5175,NA,10331.594,745.4,1453.0805,798.99,1801.241,325.8755,NA,0.985,0.534,661.1905,6887.5,339.711,NA,4237.0595,NA,0.03,NA,50,0,100,0,0,0,0,100,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA,808.98,4,NA,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0.25,0.25,0,0,0.25,0.75,0,0.25,565,22.1591541470041
"66","Prionailurus","Prionailurus",0,1,0,"Prionailurus","Feliformes","Carnivora","Felidae","Prionailurus",4645.94,26.599,631.8115,NA,6296.25,855.31,492.52,NA,517,66.991,8,2.349,1.946,202.5725,131.93,76.606,620,2190,13.777,NA,1.87,NA,0,100,0,0,50,17.5,22.5,0,0,0,0,0,0,1.5,2140,0,2140,4,12.985,NA,NA,NA,1.76,NA,1,NA,0,1,0.5,0,1,0,0,0.5,0,0,0,1,0.75,0.25,0,0,0.5,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0.25,104,5.87526028301328
"67","Procyon","Procyon",1,1,0,"Procyon","Caniformes","Carnivora","Procyonidae","Procyon",5075,41.653,600,NA,6935,596.325,365,365,625.28,63.914,6,3.096,1.718,251.111,75.25,91,1175,2191.955,2.59,76.5735,4.62,NA,40,30,29,40,0,20,0,0,0,20,0,20,0,4,1185,0,1185,1,20.955,2438.115,6223.43,341.245,4.9,NA,NA,NA,0,0.333333333333333,0.333333333333333,0,1,0,0,1,0,0,0.666666666666667,0.333333333333333,1,0,0,0,1,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0,0,0,0.333333333333333,1,0,0,1951,20.7296598039953
"68","Puma","Puma",1,1,0,"Puma","Feliformes","Carnivora","Felidae","Puma",48000,132.843,1677.665,NA,8687,1034.61,912,912,623.54,92.3,NA,2.76,0.47,681.488,400,90,3500,2693.79,43.323,0.06,129.89,1,0,100,0,0,100,0,0,0,0,0,0,0,0,1,5800,0,5800,5,8,13300.8,51800,419.99,138.87,NA,NA,NA,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4352,5.51170894077328
"69","Rattus","Rattus",1,1,0,"Rattus","Mouse-related","Rodentia","Muridae","Rattus",151.695,1.896,190,NA,1293.941,107.189,102.959,112,130.016,25.044,8,3.728,3.521,40.103,4.545,26.087,39.69,570.921,0.378,2330,0.0015,NA,30,0,70,30,0,0,0,0,0,20,0,40,10,3,2000,450,1237.5,2,18,106.59,165.7,NA,0.001749737,43.67,NA,141.48,0,0.970149253731343,0,0,1,0,0.666666666666667,0.454545454545455,0,0.0895522388059701,0.895522388059702,0.0149253731343284,1,0,0,0,1,0,0,0,0,0.358208955223881,0.253731343283582,0.388059701492537,0.0294117647058824,0,0.544117647058823,0.470588235294118,0.0147058823529412,0.0147058823529412,0.0294117647058824,0.102941176470588,1749823,31.5316734808427
"70","Rhombomys","Rhombomys",0,1,0,"Rhombomys","Mouse-related","Rodentia","Muridae","Rhombomys",214,2.564,200,NA,1642.5,108.27,106.526,105,136.02,28,NA,5,2.5,43.063,4.75,22.218,NA,562.532,0.454,NA,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,900,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,171,24.4109397428027
"71","Saguinus","Saguinus",1,0,0,"Saguinus","Platyrrhini","Primates","Callitrichidae","Saguinus",495.665,10.7315,287.105,NA,7573.75,624.491,613.129,550,749.3825,146,NA,1.9375,1.428,214.149,41,104.456,105,2393.499,0.7205,28.533,0.175,6.125,40,0,60,40,0,0,0,0,0,30,30,0,0,3,1500,0,1500,1,NA,234,225,NA,0.235,NA,NA,NA,0,0,0,0,1,0,0,0.125,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.916666666666667,0,0,1116,12.161996884775
"72","Saimiri","Saimiri",1,0,0,"Saimiri","Platyrrhini","Primates","Cebidae","Saimiri",836.7,24.273,334.995,NA,11023,1399.88,1090.589,1826,1073.25,162.545,NA,1,1.07,373.869,107.5,177,410.5,3670.732,0.961,49.934,0.68,34.85,20,20,60,20,0,0,0,20,0,20,0,20,20,5,500,50,450,1,NA,738.81,850,NA,0.65,NA,25,NA,0,0,0,0,1,0,0,0.25,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.714285714285714,0,0,5474,19.15180424905
"73","Sapajus","Sapajus",1,1,0,"Sapajus","Platyrrhini","Primates","Cebidae","Sapajus",2642.5,69.0685,493.845,NA,16790,1760.81,1727.448,NA,1897.672,158,NA,1.05,0.6,663.546,235.54,307,1000,5553.1025,1.809,18.739,1.175,8.5,23.25,12,63.75,20,0,0,0,10,0,40,20,0,10,3,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0.5,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,364,19.15180257455
"74","Semnopithecus","Semnopithecus",0,0,1,"Semnopithecus","Catarrhini","Primates","Cercopithecidae","Semnopithecus",12679.29,108.081,687.5,NA,10685.375,1561.46,1236.919,1886,1428.919,192,NA,1.02,0.7,510.625,500,349.405,2100,3822.555,4.286,31.682,1.3,19,0,0,100,0,0,0,0,0,0,10,0,10,80,1,1600,100,1450,2,NA,NA,NA,NA,NA,NA,26.2,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.142857142857143,122,12.0385569145475
"75","Sooretamys","Sooretamys",0,0,1,"Sooretamys","Mouse-related","Rodentia","Cricetidae","Sooretamys",120.17,1.655,194,NA,1190.531,NA,95.795,NA,128.562,29.188,NA,3.611,3.85,41.283,NA,25.724,NA,615.606,0.331,NA,NA,NA,20,0,80,20,0,0,0,0,0,20,0,20,40,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15,28.1247147440527
