"","treename","traitname","PCR","Competence","tip.label","clade","ord","fam","gen","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","upper_elevation_m","lower_elevation_m","altitude_breadth_m","habitat_breadth_n","X2.1_AgeatEyeOpening_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X7.1_DispersalAge_d","X22.2_HomeRange_Indiv_km2","X13.2_NeonateHeadBodyLen_mm","X10.1_PopulationGrpSize","X13.3_WeaningHeadBodyLen_mm","hibernation_torpor","fossoriality","freshwater","marine","terrestrial_non.volant","terrestrial_volant","island_dwelling","disected_by_mountains","glaciation","trophic_herbivores","trophic_omnivores","trophic_carnivores","activity_nocturnal","activity_crepuscular","activity_diurnal","forager_marine","forager_ground","forager_scansorial","forager_arboreal","forager_aerial","island_end_marine","island_end_mainland","island_end_lgbridge","island_end_isolated","biogeo_afrotropical","biogeo_antarctic","biogeo_australasian","biogeo_indomalayan","biogeo_nearctic","biogeo_neotropical","biogeo_oceanian","biogeo_palearctic","cites","ed_equal"
"11","Capra","Capra",1,0,"Capra","Ruminantia","Cetartiodactyla","Bovidae","Capra",69546.83,152.627,1695,NA,8139.5,966.5,797,1090.5,730,164.253,3,1.18,0.89,517.895,2791.43,182.616,15691.695,2555,10.928,5.825,49.47,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,3500,550,3200,3,NA,NA,NA,NA,0.51,NA,11,NA,0,1,0,0,1,0,0,0.166666666666667,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.222222222222222,0,0,0.333333333333333,0,0,0,0.888888888888889,41439,25.3005689039031
"12","Castor","Castor",1,1,"Castor","Mouse-related","Rodentia","Castoridae","Castor",19464.1675,45.115,771.8915,NA,10658,848.815,820.31,639,847.6575,110.532,4,3.3175,1,364.875,487.0525,60.989,4199.995,2975.8625,5.4245,0.6,0.06,5.1,0,0,100,0,0,0,0,0,0,0,0,0,100,1,850,0,850,2,0.5,NA,NA,729.99,0.05,NA,NA,NA,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,5173,67.529949851125
"13","Ceratotherium","Ceratotherium",0,1,"Ceratotherium","Perissodactyla","Perissodactyla","Rhinocerotidae","Ceratotherium",2230000,1344.886,3393.405,NA,18250,2741.23,2026.125,1643,2463.75,515,NA,1,0.42,987.449,51166.67,365,274482.35,6865.346,73.599,0.776,19.09,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,3,NA,NA,NA,902.99,19,NA,3.75,NA,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,249,24.6088726719063
"14","Cercopithecus","Cercopithecus",1,0,"Cercopithecus","Catarrhini","Primates","Cercopithecidae","Cercopithecus",3800,62.375,480,NA,11388,1684.59,1572.295,2114,1798.334,170.741,NA,1,0.52,608.216,339,363.965,1640,4000.218,2.209,36.092,0.695,15,20,10,70,20,0,0,0,10,0,50,0,10,10,2,2000,0,130,1,NA,3455.75,8650,NA,0.305,NA,13.9,NA,0,0,0,0,1,0,0,0.181818181818182,0,0.0526315789473684,0.947368421052632,0,0,0,1,0,0,0,1,0,0,1,0,0,0.85,0,0,0,0,0,0,0,42772,15.376361137985
"15","Chlorocebus","Chlorocebus",1,0,"Chlorocebus","Catarrhini","Primates","Cercopithecidae","Chlorocebus",5104.25,68.0755,660,NA,16790,1571.93,1318.86,1825,1486.85,167.99,NA,1,1,434.053,325.895,212.748,1036.25,4206.941,2.598,57.3885,NA,NA,20,10,75,20,0,0,0,20,0,40,0,0,20,3,1950,0,2000,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0.166666666666667,0.833333333333333,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,41748,15.376360617245
"16","Cricetomys","Cricetomys",1,0,"Cricetomys","Mouse-related","Rodentia","Nesomyidae","Cricetomys",1400,6.57,406.32,NA,3066,161.92,161.92,NA,195.92,34,NA,3.11,3.75,69.073,23.1,31.045,NA,1040.306,1.33,0.6,NA,NA,40,0,60,40,0,0,0,0,0,30,0,20,10,3,2000,0,2000,3,23,1022.38,1521.4,NA,NA,78,NA,NA,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,138,59.3260253875625
"17","Crocidura","Crocidura",1,0,"Crocidura","Soricidae","Eulipotyphla","Soricidae","Crocidura",10.42,0.3605,85.9965,NA,494.5695,75,153.292,75,184.8365,27.0335,NA,3.2925,3.0625,65.0615,0.88,23.1225,7.7,462.799,0.6945,241.37,0,1,50,50,0,50,0,10,0,0,40,0,0,0,0,2,1920,327.5,1000,1,10,29.83,12.8,NA,0.000235,29.49,NA,NA,0.0106382978723404,1,0,0,1,0,0.037037037037037,0.407407407407407,0,0,0.0265957446808511,0.973404255319149,1,0,0,0,1,0,0,0,0,0.779661016949153,0.0847457627118644,0.135593220338983,0.551020408163265,0,0.0459183673469388,0.255102040816327,0,0,0,0.158163265306122,328,92.79818705422
"18","Cynomys","Cynomys",1,0,"Cynomys","Squirrel-related","Rodentia","Sciuridae","Cynomys",864.04,5.808,318.745,NA,2339.042,404.565,568.347,730,598.737,30.39,9,4.5,1,435.658,15.75,36.65,140.57,1362.261,0.978,1399.8415,0.007,5.89,0,0,100,0,0,0,0,0,0,0,0,0,100,1,3180,1665,1515,2,33.375,422.67,1112.3,524.89,0.0260686325,NA,40,NA,1,1,0,0,1,0,0,0.666666666666667,0,0.8,0.2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6115,18.6736698283813
"19","Delphinus","Delphinus",1,0,"Delphinus","Whippomorpha","Cetartiodactyla","Delphinidae","Delphinus",77818.345,754.827,2519.995,NA,10594.125,1867.448,1624.2415,4017.75,2021.672,306.35,NA,0.99,0.42,983.468,7059.825,340.946,39999.995,4282.5795,NA,NA,NA,NA,80,20,0,80,0,0,20,0,0,0,0,0,0,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,682.5,NA,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,736,3.1968531387552
"20","Diceros","Diceros",0,1,"Diceros","Perissodactyla","Perissodactyla","Rhinocerotidae","Diceros",995940.54,790.5,3299.995,NA,17973.208,2199.16,1826,2254,2053.12,474,NA,1,0.4,1053.463,34999.99,606.285,426865.48,6205,47.243,0.142,11.48,1,0,0,100,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,3,NA,NA,NA,NA,13.24,NA,1,NA,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,217,24.6088726719063
"21","Didelphis","Didelphis",0,1,"Didelphis","Didelphimorphia","Didelphimorphia","Didelphidae","Didelphis",1090.1725,5.913,378.52,NA,1587.75,270.615,249.84,240.75,259.84,12.1725,13,6.7725,1.75,210.7905,0.18,108.25,95.955,612.838,1.1115,72.5,0.17,1,20,60,20,20,0,0,0,30,30,0,0,0,20,4,2775,30,2245,2.5,NA,665.205,2140.25,107.5,0.14,13.8,NA,195.2,0,0,0,0,1,0,0,1,0.25,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.166666666666667,1,0,0,1352,101.4142213165
"22","Elephas","Elephas",1,1,"Elephas","Afrotheria","Proboscidea","Elephantidae","Elephas",2724217.55,3053.715,4338.016,NA,22786.188,4014.43,2922.0555,3287,3221.435,543.674,2,1.1505,0.329,1105.6665,100038.9,566.285,NA,7603.474,74.9275,1.298,38.36,7.75,0,0,100,0,0,0,0,0,0,0,0,0,100,1,3000,0,3000,3,0,NA,NA,NA,28.08,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.625,0.125,0.25,0,0,0,0.125,0,0,0,0,707,54.41554376595
"23","Equus","Equus",1,1,"Equus","Perissodactyla","Perissodactyla","Equidae","Equus",256250,518.7875,2452.8525,NA,14243.102,963.17,992.677,1187,1168.488,352.421,2,1,0.6645,550.462,34034.3175,329.712,117097.78,3582.3325,22.6805,2.665,71.805,13,0,0,100,0,0,0,0,0,0,0,0,0,100,1,2300,0,2100,3,NA,NA,NA,655.29,6.88,1000,3.5,NA,0,1,0,0,1,0,0,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.4,0,0,0,0,0,0,0.3,1738,56.300615626425
"24","Eubalaena","Eubalaena",1,0,"Eubalaena","Whippomorpha","Cetartiodactyla","Balaenidae","Eubalaena",2.3e+07,5272.364,17603.54,NA,24455,3285,3347.96,3103.125,3467.5,350.007,NA,1,0.29,1451.506,797164,224.24,5e+06,9855,NA,NA,NA,4.75,100,0,0,100,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,2,NA,NA,NA,NA,NA,5299.995,NA,6994.995,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0.666666666666667,169,20.3120621315031
"25","Eumetopias","Eumetopias",1,0,"Eumetopias","Caniformes","Carnivora","Otariidae","Eumetopias",382466.74,685.055,2971.355,NA,11972,1965.83,1803.125,2420,2420,308.05,NA,1,1,364.75,18625,351,106610,3650,NA,NA,NA,NA,0,100,0,0,0,0,100,0,0,0,0,0,0,1,5,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,NA,NA,NA,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,185,36.9967031796625
"26","Felis","Felis",1,1,"Felis","Feliformes","Carnivora","Felidae","Felis",5036.54,37.931,624.255,NA,7300,305.916,307.832,304,365,64.719,6,3.69,2.02,131.035,100.935,81.505,636.895,1903.782,14.354,0.36,1.29,NA,0,100,0,0,80,10,0,0,0,0,0,0,0,1,2250,0,2250,3,11.445,3184.2,4485,140,1.36,NA,NA,NA,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0.6,0,0,0.2,0,0,0,0.6,140889,9.76618327475312
"27","Funisciurus","Funisciurus",1,1,"Funisciurus","Squirrel-related","Rodentia","Sciuridae","Funisciurus",192.865,3.574,180.2085,NA,2536.587,NA,312.97,NA,350.013,54.392,NA,1.8,1.6565,112.701,9.91,50.102,NA,1213.2905,0.4285,1000,0.003,NA,10,0,90,10,0,0,0,0,0,40,0,50,0,2,1650,0,1650,1,18,98.755,103.65,NA,NA,NA,NA,NA,0,0.1,0,0,1,0,0,0.333333333333333,0,0.4,0.6,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,12,48.947414486625
"28","Gerbilliscus","Gerbilliscus",0,1,"Gerbilliscus","Mouse-related","Rodentia","Muridae","Gerbilliscus",113,1.699,200,NA,1499.2135,98.979,103.68,99,127.765,25.4435,NA,4.294,2.9385,71.2695,4.905,26.896,30,638.817,0.32,642.18,0.001,NA,20,0,80,20,0,0,0,0,0,0,0,20,60,3,1500,0,1500,3,20,183.42,113.25,NA,0.00069045,45,NA,NA,0,1,0,0,1,0,0,0.6,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.916666666666667,0,0,0,0,0,0,0.0833333333333333,17,36.4547657878453
"29","Grampus","Grampus",1,0,"Grampus","Whippomorpha","Cetartiodactyla","Delphinidae","Grampus",425000,2551,4000,NA,15512.5,2526.32,3652.5,3652.5,4017.616,365.116,NA,1,0.417,1009.967,20000,456.6,NA,7300,NA,NA,NA,NA,50,50,0,50,0,0,50,0,0,0,0,0,0,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,NA,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,130,13.4424165259416
"30","Homo","Homo",1,1,"Homo","Catarrhini","Primates","Hominidae","Homo",69017.5,401.1335,1283.8825,NA,18700.0425,5582.93,2666.9095,5110,2925.4095,243.972,NA,1.042,0.4665,839.8065,3312.5,641.4895,11750,6150.3815,15.295,NA,NA,NA,6,31.5,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.25,0,0,1,0,NA,NA,NA,0,1,0,0,0,1,0,0.333333333333333,0,0.666666666666667,0,0,0.75,0,0.25,0,0,0,0,0,0,0,0,20268923,15.849035185725
"31","Hylobates","Hylobates",1,0,"Hylobates","Catarrhini","Primates","Hylobatidae","Hylobates",5909.81,90.935,590,NA,20805,2337.031,2849.063,1825,3066.063,216.243,NA,1,0.5,1031.129,316.455,600.502,1070,5475,2.816,10.74,0.245,3.2,10,0,90,10,0,0,0,0,0,70,0,0,20,2,1500,0,1400,1,NA,NA,NA,NA,0.3,NA,4,NA,0,0,0,0,1,0,0.6,0.8,0,0.222222222222222,0.777777777777778,0,0,0,1,0,0,0,1,0,0,0.428571428571429,0.428571428571429,0.142857142857143,0,0,0,1,0,0,0,0,1127,26.32297607025
"32","Lama","Lama",1,1,"Lama","Camelidae","Cetartiodactyla","Camelidae","Lama",112500,255.857,1747.55,NA,22435.333,676.66,676.66,730,700,337.55,NA,1,0.685,547.375,9999.995,213.026,29000,4064.145,14.238,0.67,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,5000,0,5000,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3424,18.8543909150562
"33","Leontocebus","Leontocebus",0,1,"Leontocebus","Platyrrhini","Primates","Callitrichidae","Leontocebus",393.99,8.275,310,NA,9088.5,406.61,546,730,850.45,148,NA,1.8,1,247.58,39.6,91,175,3218.314,0.635,23.212,0.2,6,34.5,7,58.5,40,0,0,0,0,0,30,30,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.181818181818182,0,0,6174,12.161996535375
"34","Leopardus","Leopardus",0,1,"Leopardus","Feliformes","Carnivora","Felidae","Leopardus",3600,33.33,694.205,NA,7993.5,678.64,581.834,600,730,74.784,NA,2.02,1.826,231.915,157.42,69.258,2092.55,2190,11.044,0.165,6.81,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3313,0,3313,3,11.735,2300.7,7580.835,758.99,6.695,NA,NA,NA,0,0.888888888888889,0,0,1,0,0,1,0,0,0.111111111111111,0.888888888888889,0.333333333333333,0.666666666666667,0,0,0.555555555555556,0.333333333333333,0.111111111111111,0,0,1,0,0,0,0,0,0,0.111111111111111,0.888888888888889,0,0,307,7.03729578657656
"35","Loxodonta","Loxodonta",1,1,"Loxodonta","Afrotheria","Proboscidea","Elephantidae","Loxodonta",4565000,5277,7500,NA,29200,4977.64,4253.807,3650,3467.5,669.68,2,1,0.21,1735.311,105000,1088.8,6e+05,9125,109.144,0.561,587.53,11.45,0,0,100,0,0,0,0,0,0,5,0,0,95,1,NA,NA,NA,NA,0,NA,NA,NA,1284.09,1198.63,NA,NA,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3090,54.41554376595
"36","Lynx","Lynx",1,0,"Lynx","Feliformes","Carnivora","Felidae","Lynx",9953.91,65.7625,990.32,NA,9782,672.9,587.337,867,641.575,66.2475,NA,2.515,1,364.75,258,93.461,1860,3365.0985,20.0395,0.083,30.9,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3905,0,3905,4,11.94,2665.2,6200,302.495,33.075,NA,NA,NA,0,1,0,0,1,0,0,0.75,0.5,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,1133,9.62881720985312
"37","Macaca","Macaca",1,1,"Macaca","Catarrhini","Primates","Cercopithecidae","Macaca",7494.695,93.6225,649.5,NA,13249.5,1460.77,1461.089,1369,1645.1045,172,NA,1,0.8,514.221,461,344.724,1416.5,4745,3.235,15.9715,1.155,21,10,0,90,10,0,0,0,0,0,30,0,20,40,3,2100,25,2300,1,NA,2239,6225,NA,0.86,NA,24.85,NA,0,0,0,0,1,0,0.5,0.428571428571429,0,0.272727272727273,0.681818181818182,0.0454545454545455,0,0,1,0,0,1,0,0,0,0.5,0.0909090909090909,0.409090909090909,0,0,0.318181818181818,0.636363636363636,0,0,0,0.227272727272727,78361,25.05055254075
"38","Malacomys","Malacomys",1,0,"Malacomys","Mouse-related","Rodentia","Muridae","Malacomys",95.64,1.44,190,NA,1002.21,NA,101.493,NA,130.815,30.084,NA,2.91,3.154,47.306,NA,26.715,NA,638.358,0.292,155.03,0.003,NA,50,0,50,50,0,0,0,0,0,20,0,20,10,3,2230,NA,NA,1,NA,NA,NA,NA,0.003633282,NA,NA,NA,0,1,0,0,1,0,0,0.5,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11,26.6270515722113
"39","Marmota","Marmota",1,0,"Marmota","Squirrel-related","Rodentia","Sciuridae","Marmota",3967.365,14.403,600,NA,5501.409,847.896,889.8575,730,941.885,33.675,10,4.575,1,729.5,31.495,37.5,363.415,2088.318,2.261,71.8,0.01,3,0,0,100,0,0,0,0,0,0,30,0,30,40,3,3400,950,1805,2,NA,1008.72,2650,714.87,0.01,100,NA,210,1,1,0,0,1,0,0,0.714285714285714,0.285714285714286,0.857142857142857,0.142857142857143,0,0,0,1,0,1,0,0,0,0,0.928571428571429,0.0714285714285714,0,0,0,0,0,0.428571428571429,0,0,0.571428571428571,1280,29.2376568265625
"40","Mephitis","Mephitis",1,1,"Mephitis","Caniformes","Carnivora","Mephitidae","Mephitis",1990.6875,10.8745,391.65,NA,4130.5835,355.18,336.684,335,397.3535,61.268,12,4.72,1.4425,295.1475,33.19,58.505,493.5,1632.128,1.5,8.15,2.32,NA,20,30,50,20,30,0,0,0,0,20,0,10,20,4,2120,0,2120,4.5,21.98,638.4,2400,84,2.18,NA,NA,NA,0,1,0,0,1,0,0,1,0,0,1,0,0.5,0.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0,595,30.1213750302812
"41","Meriones","Meriones",0,1,"Meriones","Mouse-related","Rodentia","Muridae","Meriones",91.33,1.41,154.53,NA,1700.292,75.485,91.091,82,119.024,25.09,NA,4.446,3.104,46.429,3.5125,24.116,25,597.618,0.284,7346.43,0,NA,20,0,80,20,0,0,0,0,0,10,0,20,50,3,1950,800,400,2,14.25,99.4,72.3,NA,0.000116035,NA,NA,NA,0.0588235294117647,1,0,0,1,0,0,0.833333333333333,0,0.294117647058824,0.705882352941177,0,0.235294117647059,0.647058823529412,0.117647058823529,0,1,0,0,0,0,1,0,0,0.117647058823529,0,0,0.117647058823529,0,0,0,1,10798,24.4109394532027
"42","Micromys","Micromys",1,0,"Micromys","Mouse-related","Rodentia","Muridae","Micromys",7.18,0.29,67,NA,1825,37.37,40,37,52,20,NA,5.15,2.6,20.986,0.9,17.957,NA,502.66,0.07,NA,NA,NA,30,0,70,30,0,0,0,0,0,0,0,40,30,3,1700,0,1700,6,8,21.07,7.37,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,88,31.5316704832227
