"","treename","traitname","PCR","Competence","tip.label","clade","ord","fam","gen","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","upper_elevation_m","lower_elevation_m","altitude_breadth_m","habitat_breadth_n","X2.1_AgeatEyeOpening_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X7.1_DispersalAge_d","X22.2_HomeRange_Indiv_km2","X13.2_NeonateHeadBodyLen_mm","X10.1_PopulationGrpSize","X13.3_WeaningHeadBodyLen_mm","hibernation_torpor","fossoriality","freshwater","marine","terrestrial_non.volant","terrestrial_volant","island_dwelling","disected_by_mountains","glaciation","trophic_herbivores","trophic_omnivores","trophic_carnivores","activity_nocturnal","activity_crepuscular","activity_diurnal","forager_marine","forager_ground","forager_scansorial","forager_arboreal","forager_aerial","island_end_marine","island_end_mainland","island_end_lgbridge","island_end_isolated","biogeo_afrotropical","biogeo_antarctic","biogeo_australasian","biogeo_indomalayan","biogeo_nearctic","biogeo_neotropical","biogeo_oceanian","biogeo_palearctic","cites","ed_equal"
"1","Acinonyx","Acinonyx",1,1,"Acinonyx","Feliformes","Carnivora","Felidae","Acinonyx",50577.92,115.012,1490.215,NA,7482.5,741.97,598.985,456,1217.27,90.12,12,3.04,0.7,541.879,465.33,107,1940,2190,44.448,0.021,88.27,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,4000,0,4000,4,9.03,17115,48900,465,94.38,250,NA,NA,0,1,0,0,1,0,NA,NA,NA,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,517,6.67374523583656
"2","Ailurus","Ailurus",1,1,"Ailurus","Caniformes","Carnivora","Ailuridae","Ailurus",4747.54,42.491,608.66,NA,6935,604.05,571.903,550,760.41,123.437,4,2,1,364.75,102.02,136.935,1140,3650,2.497,NA,1.43,NA,10,10,80,10,10,0,0,0,0,10,0,10,60,1,4800,2500,2300,1,18,838.36,5345,270,1.52,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,154,26.2829786409906
"3","Alouatta","Alouatta",1,1,"Alouatta","Platyrrhini","Primates","Atelidae","Alouatta",6330.555,55.442,737.605,NA,9125,1681.4915,1610.482,1103,1685.1075,187.384,NA,1.071,0.7905,486.4065,293.42,372,1100,3833.157,2.925,40.031,0.1,7.9,0,0,100,0,0,0,0,0,0,40,0,0,60,2,1160,10,1150,2,NA,2027.4,4670,NA,0.31,NA,NA,NA,0,0,0,0,1,0,0,0.555555555555556,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.785714285714286,0,0,813,37.763263845
"4","Apodemus","Apodemus",1,1,"Apodemus","Mouse-related","Rodentia","Muridae","Apodemus",27.0875,0.737,126.56,NA,1934.5,57.93,71,60.75,94.436,23.955,NA,5.18,3.085,39.973,2.3,22,8.7,572.689,0.152,1098.35,0.004,NA,20,0,80,20,0,0,0,0,0,20,0,20,40,4,2600,275,1750,2,NA,63.81,31.25,NA,0.0043683495,NA,NA,NA,0,0.904761904761905,0,0,1,0,0.142857142857143,1,0.285714285714286,0.0952380952380952,0.904761904761905,0,0.0476190476190476,0.857142857142857,0.0952380952380952,0,1,0,0,0,0,0.857142857142857,0.142857142857143,0,0,0,0,0.333333333333333,0,0,0,0.952380952380952,3208700,26.6270515732113
"5","Balaena","Balaena",1,0,"Balaena","Whippomorpha","Cetartiodactyla","Balaenidae","Balaena",8e+07,6042.615,13593.56,NA,77015,6041.21,6391.56,8212,8599.95,379.9,NA,1,0.3,1641.376,9e+05,352,NA,18980,NA,NA,NA,5,100,0,0,100,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,140,20.3120602516031
"6","Bos","Bos",1,1,"Bos","Ruminantia","Cetartiodactyla","Bovidae","Bos",683333.335,441.956,3000,NA,9563,755.15,746.916,550,825,274.766,NA,1,0.998,470.279,18000,210.101,NA,3285,38.402,0.861,10.04,40,0,0,100,0,0,0,0,0,0,0,0,0,100,1,2800,0,2100,2,NA,NA,NA,NA,NA,NA,21,NA,0,1,0,0,1,0,NA,NA,NA,1,0,0,0,0.2,0.8,0,1,0,0,0,0,1,0,0,0,0,0,0.6,0,0,0,0.4,15883,15.7810286646016
"7","Bubalus","Bubalus",1,1,"Bubalus","Ruminantia","Cetartiodactyla","Bovidae","Bubalus",224928.085,394.465,2015.0195,NA,10775.8325,755.15,748.8625,730,866.549,297.495,NA,1.007,1,435.8925,37500,215.928,NA,3102.5,20.8235,1.06,3.63,1,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1650,0,1550,2,NA,NA,NA,1095,NA,NA,11,NA,0,1,0.25,0,1,0,0.666666666666667,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.166666666666667,0.166666666666667,0.666666666666667,0,0,0.333333333333333,0.333333333333333,0,0,0,0,7918,15.7810289171016
"8","Callithrix","Callithrix",1,1,"Callithrix","Platyrrhini","Primates","Callitrichidae","Callithrix",294.9075,7.9745,300,NA,8318.958,429.5,477,382,621,144,NA,2.18,2,164.287,27.12,62,96.8,2189.8665,0.5415,31.5265,0.06,7.275,20,10,70,20,0,0,0,10,0,30,40,0,0,3,1274,500,774,2,NA,152,190,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0.166666666666667,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4826,18.79708631095
"9","Camelus","Camelus",1,1,"Camelus","Camelidae","Cetartiodactyla","Camelidae","Camelus",454500,651,3450,NA,14600,1639.27,1265.1245,1734.5,1555.81,396.125,NA,1,0.6,669.8935,36187.7975,395.964,253484,5381.7425,30.6785,0.76,196.32,8.1,0,0,100,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,1,NA,40293,407000,NA,NA,NA,11,NA,0,1,0,0,1,0,NA,NA,NA,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,5087,36.5739324133125
"10","Canis","Canis",1,0,"Canis","Caniformes","Carnivora","Canidae","Canis",12284.215,85.4035,953.93,NA,6862,372.065,389.0435,304,399.175,62.675,8,4.08,1.075,364.75,207.5,65.5235,3383.5,2075.6955,22.1895,0.5695,8.065,NA,5,90,5,5,55,0,0,0,10,0,0,0,0,1,3000,0,3000,4.5,11.94,7476.6,21775,255,8.92,NA,NA,NA,0,1,0,0,1,0,0,0.8,0.2,0,0.375,0.625,0.125,0.875,0,0,1,0,0,0,0,1,0,0,0.444444444444444,0,0,0.222222222222222,0.333333333333333,0.222222222222222,0,0.333333333333333,11604,28.5166210677625
