"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2","type"
"42",42,0.965806669671023,0.906897530513767,0.996309963099631,0.0769230769230769,241,5000,2,0.01,4,2,"5000 2 0.01 4","5","competence"
"43",43,0.959580052493438,0.868650793650794,1,0,229,5000,2,0.01,4,3,"5000 2 0.01 4","5","competence"
"44",44,0.957182546167674,0.948835784313725,0.996323529411765,0.0833333333333333,229,5000,2,0.01,4,4,"5000 2 0.01 4","5","competence"
"45",45,0.959328526363227,0.897814362759012,1,0.0769230769230769,262,5000,2,0.01,4,5,"5000 2 0.01 4","5","competence"
"46",46,0.981494920174166,0.862081784386617,0.985130111524164,0.0666666666666667,295,5000,2,0.01,4,6,"5000 2 0.01 4","5","competence"
"47",47,0.956430446194226,0.932275132275132,0.992592592592593,0.0714285714285714,258,5000,2,0.01,4,7,"5000 2 0.01 4","5","competence"
"48",48,0.962285939612438,0.870564859494749,0.996309963099631,0,246,5000,2,0.01,4,8,"5000 2 0.01 4","5","competence"
"49",49,0.967456761574409,0.908967391304348,0.989130434782609,0.25,244,5000,2,0.01,4,9,"5000 2 0.01 4","5","competence"
"50",50,0.969299233889139,0.848850411581039,1,0.0769230769230769,163,5000,2,0.01,4,10,"5000 2 0.01 4","5","competence"
"51",51,0.974650743578188,0.873971047402782,1,0,1631,5000,3,0.001,4,1,"5000 3 0.001 4","6","competence"
"52",52,0.977410995944119,0.898949758728356,1,0.0769230769230769,2034,5000,3,0.001,4,2,"5000 3 0.001 4","6","competence"
"53",53,0.975619714202391,0.865608465608466,1,0,1947,5000,3,0.001,4,3,"5000 3 0.001 4","6","competence"
"54",54,0.96698806994607,0.94515931372549,0.996323529411765,0.0833333333333333,1816,5000,3,0.001,4,4,"5000 3 0.001 4","6","competence"
"55",55,0.972115817936007,0.900085154697701,1,0.0769230769230769,2117,5000,3,0.001,4,5,"5000 3 0.001 4","6","competence"
"56",56,0.990686985970005,0.846592317224287,0.988847583643123,0,2236,5000,3,0.001,4,6,"5000 3 0.001 4","6","competence"
"57",57,0.971828521434821,0.932275132275132,0.992592592592593,0.0714285714285714,2169,5000,3,0.001,4,7,"5000 3 0.001 4","6","competence"
"58",58,0.974425416854439,0.879364178257167,0.996309963099631,0,2206,5000,3,0.001,4,8,"5000 3 0.001 4","6","competence"
"59",59,0.974803680686034,0.90625,0.981884057971015,0.375,2342,5000,3,0.001,4,9,"5000 3 0.001 4","6","competence"
"60",60,0.985184767913475,0.842179960261141,1,0.0769230769230769,2168,5000,3,0.001,4,10,"5000 3 0.001 4","6","competence"
"61",61,0.974256421811627,0.883338064149872,1,0,140,5000,3,0.01,4,1,"5000 3 0.01 4","7","competence"
"62",62,0.976002703920685,0.896678966789668,1,0.0769230769230769,183,5000,3,0.01,4,2,"5000 3 0.01 4","7","competence"
"63",63,0.971128608923884,0.864285714285714,1,0,186,5000,3,0.01,4,3,"5000 3 0.01 4","7","competence"
"64",64,0.961867407528463,0.947916666666667,0.996323529411765,0.0833333333333333,167,5000,3,0.01,4,4,"5000 3 0.01 4","7","competence"
