"","Feature","Coverage"
"3","cites",1
"4","ed_equal",1
"5","adult_mass_g",0.993657505285412
"6","brain_mass_g",0.995771670190275
"7","adult_body_length_mm",0.996828752642706
"8","max_longevity_d",0.995771670190275
"9","female_maturity_d",0.995771670190275
"10","age_first_reproduction_d",0.995771670190275
"11","gestation_length_d",0.995771670190275
"12","litter_size_n",0.995771670190275
"13","litters_per_year_n",0.995771670190275
"14","interbirth_interval_d",0.995771670190275
"15","weaning_age_d",0.995771670190275
"16","generation_length_d",0.995771670190275
"17","dispersal_km",0.933403805496829
"18","dphy_invertebrate",0.995771670190275
"19","dphy_vertebrate",0.995771670190275
"20","dphy_plant",0.995771670190275
"21","det_inv",0.829809725158562
"22","det_vend",0.829809725158562
"23","det_vect",0.829809725158562
"24","det_vfish",0.829809725158562
"25","det_vunk",0.829809725158562
"26","det_scav",0.829809725158562
"27","det_fruit",0.829809725158562
"28","det_nect",0.829809725158562
"29","det_seed",0.829809725158562
"30","det_plantother",0.829809725158562
"31","det_diet_breadth_n",0.989429175475687
"32","upper_elevation_m",0.717758985200846
"33","habitat_breadth_n",0.965116279069767
"34","hibernation_torpor",0.995771670190275
"35","fossoriality",0.993657505285412
"36","freshwater",0.984143763213531
"37","marine",0.984143763213531
"38","terrestrial_non.volant",0.984143763213531
"39","island_dwelling",0.73784355179704
"40","disected_by_mountains",0.73784355179704
"41","glaciation",0.73784355179704
"42","trophic_herbivores",0.993657505285412
"43","trophic_omnivores",0.993657505285412
"44","trophic_carnivores",0.993657505285412
"45","activity_nocturnal",0.992600422832981
"46","activity_crepuscular",0.992600422832981
"47","activity_diurnal",0.992600422832981
"48","forager_marine",0.995771670190275
"49","forager_ground",0.995771670190275
"50","forager_scansorial",0.995771670190275
"51","forager_arboreal",0.995771670190275
"52","island_end_marine",0.994714587737844
"53","island_end_mainland",0.994714587737844
"54","island_end_lgbridge",0.994714587737844
"55","island_end_isolated",0.994714587737844
"56","biogeo_afrotropical",1
"57","biogeo_antarctic",1
"58","biogeo_australasian",1
"59","biogeo_indomalayan",1
"60","biogeo_nearctic",1
"61","biogeo_neotropical",1
"62","biogeo_oceanian",1
"63","biogeo_palearctic",1
"64","fam_ABROCOMIDAE",1
"65","fam_AILURIDAE",1
"66","fam_ANOMALURIDAE",1
"67","fam_ANTILOCAPRIDAE",1
"68","fam_AOTIDAE",1
"69","fam_APLODONTIIDAE",1
"70","fam_Archaeolemuridae",1
"71","fam_ATELIDAE",1
"72","fam_BALAENIDAE",1
"73","fam_BALAENOPTERIDAE",1
"74","fam_BATHYERGIDAE",1
"75","fam_BOVIDAE",1
"76","fam_BRADYPODIDAE",1
"77","fam_CALLITRICHIDAE",1
"78","fam_CALOMYSCIDAE",1
"79","fam_CAMELIDAE",1
"80","fam_CANIDAE",1
"81","fam_CAPROMYIDAE",1
"82","fam_CASTORIDAE",1
"83","fam_CAVIIDAE",1
"84","fam_CEBIDAE",1
"85","fam_CERCOPITHECIDAE",1
"86","fam_CERVIDAE",1
"87","fam_CHEIROGALEIDAE",1
"88","fam_CHINCHILLIDAE",1
"89","fam_CRICETIDAE",1
"90","fam_CTENODACTYLIDAE",1
"91","fam_CTENOMYIDAE",1
"92","fam_CUNICULIDAE",1
"93","fam_CYCLOPEDIDAE",1
"94","fam_DASYPROCTIDAE",1
"95","fam_DAUBENTONIIDAE",1
"96","fam_DELPHINIDAE",1
"97","fam_DIATOMYIDAE",1
"98","fam_DIDELPHIDAE",1
"99","fam_DINOMYIDAE",1
"100","fam_DIPODIDAE",1
"101","fam_ECHIMYIDAE",1
"102","fam_ELEPHANTIDAE",1
"103","fam_EQUIDAE",1
"104","fam_ERETHIZONTIDAE",1
"105","fam_ERINACEIDAE",1
"106","fam_ESCHRICHTIIDAE",1
"107","fam_EUPLERIDAE",1
"108","fam_FELIDAE",1
"109","fam_GALAGIDAE",1
"110","fam_GEOMYIDAE",1
"111","fam_GIRAFFIDAE",1
"112","fam_GLIRIDAE",1
"113","fam_HERPESTIDAE",1
"114","fam_HETEROCEPHALIDAE",1
"115","fam_HETEROMYIDAE",1
"116","fam_HIPPOPOTAMIDAE",1
"117","fam_HOMINIDAE",1
"118","fam_HYAENIDAE",1
"119","fam_HYLOBATIDAE",1
"120","fam_HYSTRICIDAE",1
"121","fam_INDRIIDAE",1
"122","fam_INIIDAE",1
"123","fam_LEMURIDAE",1
"124","fam_LEPILEMURIDAE",1
"125","fam_LEPORIDAE",1
"126","fam_LORISIDAE",1
"127","fam_Mammutidae",1
"128","fam_Megaladapidae",1
"129","fam_MEGALONYCHIDAE",1
"130","fam_MEPHITIDAE",1
"131","fam_MONODONTIDAE",1
"132","fam_MOSCHIDAE",1
"133","fam_MURIDAE",1
"134","fam_MUSTELIDAE",1
"135","fam_Mylodontidae",1
"136","fam_MYOCASTORIDAE",1
"137","fam_MYRMECOPHAGIDAE",1
"138","fam_NANDINIIDAE",1
"139","fam_NEOBALAENIDAE",1
"140","fam_NESOMYIDAE",1
"141","fam_NESOPHONTIDAE",1
"142","fam_Nothrotheriidae",1
"143","fam_OCHOTONIDAE",1
"144","fam_OCTODONTIDAE",1
"145","fam_ODOBENIDAE",1
"146","fam_OTARIIDAE",1
"147","fam_PALAEOPROPITHECIDAE",1
"148","fam_PEDETIDAE",1
"149","fam_PETROMURIDAE",1
"150","fam_PHOCIDAE",1
"151","fam_PHOCOENIDAE",1
"152","fam_PHYSETERIDAE",1
"153","fam_PITHECIIDAE",1
"154","fam_PLATACANTHOMYIDAE",1
"155","fam_PLATANISTIDAE",1
"156","fam_PRIONODONTIDAE",1
"157","fam_PROCYONIDAE",1
"158","fam_PROLAGIDAE",1
"159","fam_RHINOCEROTIDAE",1
"160","fam_SCIURIDAE",1
"161","fam_SOLENODONTIDAE",1
"162","fam_SORICIDAE",1
"163","fam_SPALACIDAE",1
"164","fam_SUIDAE",1
"165","fam_TALPIDAE",1
