"","feature","pcr_imp","comp_imp","pcr_rank","comp_rank"
"1","activity_crepuscular",0.007231,0.006376,29,30
"2","activity_diurnal",0.008549,0.006955,25,27
"3","activity_nocturnal",0.001652,0.004087,50,38
"4","adult_body_length_mm",0.011276,0.005572,20,32
"5","adult_mass_g",0.026338,0.008617,9,24
"6","age_first_reproduction_d",0.012444,0.007901,18,25
"7","biogeo_afrotropical",0.006511,0.012039,32,18
"8","biogeo_antarctic",0.001296,1e-06,55,75
"9","biogeo_australasian",0.002386,0.00148,46,52
"10","biogeo_indomalayan",0.008797,0.006537,24,29
"11","biogeo_nearctic",0.004807,0.004738,36,36
"12","biogeo_neotropical",0.005749,0.00616,33,31
"13","biogeo_oceanian",0.001644,0.000162,51,62
"14","biogeo_palearctic",0.006518,0.01135,31,19
"15","brain_mass_g",0.019176,0.009659,14,22
"16","cites",0.308784,0.259959,1,1
"17","det_diet_breadth_n",0.007906,0.017574,26,12
"18","det_fruit",0.004514,0.003276,37,42
"19","det_inv",0.007466,0.006833,28,28
"20","det_nect",0.004812,0.009755,35,21
"21","det_plantother",0.011126,0.02313,21,9
"22","det_scav",0.003562,0.000426,41,55
"23","det_seed",0.007891,0.015433,27,14
"24","det_vect",5.3e-05,0.000275,64,59
"25","det_vend",0.011397,0.015948,19,13
"26","det_vfish",0.015127,0.000304,16,57
"27","det_vunk",0.00144,0.001367,52,53
"28","disected_by_mountains",0.023202,0.020154,11,10
"29","dispersal_km",0.042819,0.143796,5,2
"30","dphy_invertebrate",0.003694,0.005406,40,33
"31","dphy_plant",0.003814,0.003158,39,43
"32","dphy_vertebrate",0.014799,0.003589,17,39
"33","ed_equal",0.039727,0.027026,6,8
"34","fam_ATELIDAE",9.99999999999999e-07,0.000229,81,60
"35","fam_BATHYERGIDAE",0,0,82,76
"36","fam_BOVIDAE",2.7e-05,2.7e-05,69,68
"37","fam_CALLITRICHIDAE",0.001346,0.001481,53,51
"38","fam_CANIDAE",0.000206,1.4e-05,62,70
"39","fam_CAPROMYIDAE",0,0,83,77
"40","fam_CAVIIDAE",0,0,84,78
"41","fam_CERCOPITHECIDAE",8.2e-05,1.1e-05,63,71
"42","fam_CERVIDAE",7e-06,0,75,79
"43","fam_CHEIROGALEIDAE",0,0,85,80
"44","fam_CRICETIDAE",2.7e-05,8.1e-05,70,66
"45","fam_DELPHINIDAE",0.010012,0,23,81
"46","fam_DIDELPHIDAE",0,1.8e-05,86,69
"47","fam_DIPODIDAE",0,0,87,82
"48","fam_ECHIMYIDAE",0,0,88,83
"49","fam_ERINACEIDAE",0,0,89,84
"50","fam_EUPLERIDAE",0,0,90,85
"51","fam_FELIDAE",0.002751,0.044922,44,5
"52","fam_GALAGIDAE",0,0,91,86
"53","fam_GEOMYIDAE",0,0,92,87
"54","fam_GLIRIDAE",0,0,93,88
"55","fam_HERPESTIDAE",4.1e-05,0,65,89
"56","fam_HETEROMYIDAE",0,0,94,90
"57","fam_LEMURIDAE",0,0,95,91
"58","fam_LEPORIDAE",1e-06,0.000109,77,64
"59","fam_MURIDAE",3.4e-05,0.002943,67,45
"60","fam_MUSTELIDAE",3.2e-05,4e-06,68,73
"61","fam_NESOMYIDAE",2.6e-05,0,72,92
"62","fam_OCTODONTIDAE",0,0,96,93
"63","fam_OTARIIDAE",1e-06,0,79,94
"64","fam_PHOCIDAE",3e-06,0,76,95
"65","fam_PITHECIIDAE",0,0,97,96
"66","fam_PROCYONIDAE",1e-06,0.000104,80,65
"67","fam_RHINOCEROTIDAE",1e-06,0.000142,78,63
"68","fam_SCIURIDAE",2.4e-05,4.7e-05,73,67
"69","fam_SORICIDAE",0,0,98,97
"70","fam_SPALACIDAE",0,0,99,98
"71","fam_SUIDAE",0,0,100,99
"72","fam_TALPIDAE",0,0,101,100
"73","fam_URSIDAE",0,0,102,101
"74","fam_VIVERRIDAE",0,0,103,102
"75","fam_ZIPHIIDAE",2.7e-05,0,71,103
"76","female_maturity_d",0.025705,0.010067,10,20
"77","forager_arboreal",0.000222,0.000286,61,58
"78","forager_ground",0.000827,0.003014,58,44
"79","forager_marine",2.1e-05,8e-06,74,72
"80","forager_scansorial",4.1e-05,0.000898,66,54
"81","fossoriality",0.005127,0.007533,34,26
"82","freshwater",0.00098,0.00221,56,49
"83","generation_length_d",0.011051,0.008933,22,23
"84","gestation_length_d",0.029678,0.057312,7,3
"85","glaciation",0.004282,0.003503,38,41
"86","habitat_breadth_n",0.021572,0.034217,13,7
"87","hibernation_torpor",0.000868,0.000182,57,61
"88","interbirth_interval_d",0.054825,0.014719,3,15
"89","island_dwelling",0.002915,0.003516,43,40
"90","island_end_isolated",0.001308,0.004375,54,37
"91","island_end_lgbridge",0.006532,0.00508,30,34
"92","island_end_mainland",0.002483,0.002764,45,46
"93","island_end_marine",0.001813,2e-06,49,74
"94","litter_size_n",0.017685,0.038033,15,6
"95","litters_per_year_n",0.027819,0.013347,8,16
"96","marine",0.000756,0.002738,59,48
"97","max_longevity_d",0.056622,0.017732,2,11
"98","terrestrial_non.volant",0.00025,0.000393,60,56
"99","trophic_carnivores",0.002272,0.001822,47,50
"100","trophic_herbivores",0.002126,0.002743,48,47
"101","trophic_omnivores",0.003433,0.004791,42,35
"102","upper_elevation_m",0.044689,0.048093,4,4
"103","weaning_age_d",0.022884,0.012514,12,17
