"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2","type"
"1",1,0.965919333032898,0.865739426625035,1,0,4111,15000,2,5e-04,4,1,"15000 2 5e-04 4","1","competence"
"2",2,0.96715863001352,0.907749077490775,0.996309963099631,0.0769230769230769,5397,15000,2,5e-04,4,2,"15000 2 5e-04 4","1","competence"
"3",3,0.964071157771945,0.868783068783069,1,0,5118,15000,2,5e-04,4,3,"15000 2 5e-04 4","1","competence"
"4",4,0.952061883750068,0.944546568627451,0.996323529411765,0.0833333333333333,4399,15000,2,5e-04,4,4,"15000 2 5e-04 4","1","competence"
"5",5,0.959835511491663,0.897530513766676,1,0.0769230769230769,5024,15000,2,5e-04,4,5,"15000 2 5e-04 4","1","competence"
"6",6,0.980104015481374,0.858488228004957,0.992565055762082,0,5543,15000,2,5e-04,4,6,"15000 2 5e-04 4","1","competence"
"7",7,0.952697579469233,0.935714285714286,0.992592592592593,0.0714285714285714,5674,15000,2,5e-04,4,7,"15000 2 5e-04 4","1","competence"
"8",8,0.963159080666967,0.880215725234175,0.996309963099631,0,5282,15000,2,5e-04,4,8,"15000 2 5e-04 4","1","competence"
"9",9,0.963048610107434,0.908967391304348,0.97463768115942,0.375,6120,15000,2,5e-04,4,9,"15000 2 5e-04 4","1","competence"
"10",10,0.97504506534475,0.842747658245813,1,0.153846153846154,4623,15000,2,5e-04,4,10,"15000 2 5e-04 4","1","competence"
"11",11,0.97718566922037,0.871416406471757,1,0,3476,15000,3,5e-04,4,1,"15000 3 5e-04 4","2","competence"
"12",12,0.978537629562866,0.902923644621062,0.996309963099631,0.0769230769230769,4548,15000,3,5e-04,4,2,"15000 3 5e-04 4","2","competence"
"13",13,0.976611256926218,0.868253968253968,1,0,4024,15000,3,5e-04,4,3,"15000 3 5e-04 4","2","competence"
"14",14,0.96998420221169,0.947303921568628,0.996323529411765,0.166666666666667,4317,15000,3,5e-04,4,4,"15000 3 5e-04 4","2","competence"
