"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2"
"1",1,0.961429807546022,0.942607224096438,0.998131888660564,0.541176470588235,14997,15000,2,5e-04,4,1,"15000 2 5e-04 4","1"
"2",2,0.964918649097159,0.947568128857819,0.99906611878969,0.488095238095238,14914,15000,2,5e-04,4,2,"15000 2 5e-04 4","1"
"3",3,0.964095175861369,0.945274848585116,0.998316813166261,0.538461538461538,14999,15000,2,5e-04,4,3,"15000 2 5e-04 4","1"
"4",4,0.968271988446777,0.927973900155088,0.998694516971279,0.486842105263158,14995,15000,2,5e-04,4,4,"15000 2 5e-04 4","1"
"5",5,0.965491661646073,0.949478001491424,0.998695003728561,0.513513513513513,14999,15000,2,5e-04,4,5,"15000 2 5e-04 4","1"
"6",6,0.964246603497768,0.950051325121314,0.998133631952221,0.4375,14934,15000,2,5e-04,4,6,"15000 2 5e-04 4","1"
"7",7,0.965504706390956,0.948044680557272,0.998694273456445,0.532467532467532,15000,15000,2,5e-04,4,7,"15000 2 5e-04 4","1"
"8",8,0.962807347222572,0.957622841346751,0.998695490122997,0.430555555555556,15000,15000,2,5e-04,4,8,"15000 2 5e-04 4","1"
"9",9,0.96685495424073,0.928849460537007,0.99925498230583,0.521739130434783,14973,15000,2,5e-04,4,9,"15000 2 5e-04 4","1"
"10",10,0.972906720242041,0.936869703475984,0.998690609801721,0.467391304347826,15000,15000,2,5e-04,4,10,"15000 2 5e-04 4","1"
"11",11,0.965910020158223,0.944068746497291,0.998131888660564,0.541176470588235,14977,15000,3,5e-04,4,1,"15000 3 5e-04 4","2"
"12",12,0.97063067687411,0.949026762367255,0.99906611878969,0.488095238095238,14915,15000,3,5e-04,4,2,"15000 3 5e-04 4","2"
"13",13,0.969339576150742,0.947913690947168,0.998316813166261,0.538461538461538,14969,15000,3,5e-04,4,3,"15000 3 5e-04 4","2"
"14",14,0.971414985321392,0.928491676318734,0.998694516971279,0.486842105263158,12303,15000,3,5e-04,4,4,"15000 3 5e-04 4","2"
"15",15,0.969615843073434,0.948246064856803,0.998695003728561,0.513513513513513,14997,15000,3,5e-04,4,5,"15000 3 5e-04 4","2"
"16",16,0.967897020685005,0.95017030608436,0.998133631952221,0.4375,14995,15000,3,5e-04,4,6,"15000 3 5e-04 4","2"
"17",17,0.970155468931644,0.948244536660877,0.998694273456445,0.532467532467532,14849,15000,3,5e-04,4,7,"15000 3 5e-04 4","2"
"18",18,0.96969962014642,0.958000735080962,0.998695490122997,0.430555555555556,14893,15000,3,5e-04,4,8,"15000 3 5e-04 4","2"
"19",19,0.968475522615372,0.931083163949782,0.99925498230583,0.521739130434783,12636,15000,3,5e-04,4,9,"15000 3 5e-04 4","2"
"20",20,0.978326070346437,0.939385806535565,0.998690609801721,0.467391304347826,14539,15000,3,5e-04,4,10,"15000 3 5e-04 4","2"
"21",21,0.966548997794006,0.942352281843057,0.998131888660564,0.541176470588235,11406,15000,4,5e-04,4,1,"15000 4 5e-04 4","3"
"22",22,0.973065319412718,0.948793292064678,0.99906611878969,0.488095238095238,14917,15000,4,5e-04,4,2,"15000 4 5e-04 4","3"
"23",23,0.97055729021906,0.948075022041732,0.998316813166261,0.538461538461538,11028,15000,4,5e-04,4,3,"15000 4 5e-04 4","3"
"24",24,0.973039318619953,0.92816407860382,0.998694516971279,0.486842105263158,10104,15000,4,5e-04,4,4,"15000 4 5e-04 4","3"
"25",25,0.97292251255074,0.948810387568777,0.998695003728561,0.513513513513513,14980,15000,4,5e-04,4,5,"15000 4 5e-04 4","3"
