"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2"
"33",33,0.973950972101486,0.958574901814101,0.999625958481391,0.659340659340659,5000,5000,2,0.001,4,3,"5000 2 0.001 4","4"
"34",34,0.976919519862069,0.945904660476256,0.999627004848937,0.605263157894737,5000,5000,2,0.001,4,4,"5000 2 0.001 4","4"
"35",35,0.968153432322024,0.973751435999758,0.999813571961223,0.648648648648649,5000,5000,2,0.001,4,5,"5000 2 0.001 4","4"
"36",36,0.971838418175646,0.96908944568869,0.999813363195222,0.6875,5000,5000,2,0.001,4,6,"5000 2 0.001 4","4"
"37",37,0.97974149362067,0.954341964694511,0.999440402909905,0.636363636363636,5000,5000,2,0.001,4,7,"5000 2 0.001 4","4"
"38",38,0.97579653736449,0.954956878701288,0.999813641446142,0.638888888888889,5000,5000,2,0.001,4,8,"5000 2 0.001 4","4"
"39",39,0.974187607791594,0.956400268854211,0.999813745576457,0.579710144927536,5000,5000,2,0.001,4,9,"5000 2 0.001 4","4"
"40",40,0.978834289363546,0.945773150181363,0.999812944257389,0.630434782608696,5000,5000,2,0.001,4,10,"5000 2 0.001 4","4"
"41",41,0.99195002282063,0.990834166657509,0.999626377732113,0.741176470588235,3176,5000,2,0.01,4,1,"5000 2 0.01 4","5"
"42",42,0.99659405277942,0.963865467741075,0.999626447515876,0.642857142857143,2711,5000,2,0.01,4,2,"5000 2 0.01 4","5"
"43",43,0.991685442427898,0.970253423404723,0.999438937722087,0.692307692307692,1691,5000,2,0.01,4,3,"5000 2 0.01 4","5"
"44",44,0.999015329786624,0.957130096782426,0.999627004848937,0.736842105263158,2352,5000,2,0.01,4,4,"5000 2 0.01 4","5"
"45",45,0.996958167772835,0.976596982888929,0.999254287844892,0.716216216216216,4079,5000,2,0.01,4,5,"5000 2 0.01 4","5"
"46",46,0.994287548583319,0.983487308697275,0.999813363195222,0.775,4067,5000,2,0.01,4,6,"5000 2 0.01 4","5"
"47",47,0.995265000145315,0.971134722393816,0.999440402909905,0.701298701298701,1761,5000,2,0.01,4,7,"5000 2 0.01 4","5"
"48",48,0.998545786735119,0.960046796703524,0.999440924338427,0.736111111111111,3059,5000,2,0.01,4,8,"5000 2 0.01 4","5"
"49",49,0.998390515035189,0.962836843824316,0.999441236729372,0.608695652173913,2746,5000,2,0.01,4,9,"5000 2 0.01 4","5"
"50",50,0.999151894020716,0.952929048943542,0.999625888514777,0.684782608695652,2315,5000,2,0.01,4,10,"5000 2 0.01 4","5"
"51",51,0.979179978700745,0.991168228920561,0.999626377732113,0.658823529411765,5000,5000,3,0.001,4,1,"5000 3 0.001 4","6"
"52",52,0.988416423604169,0.956089794901898,0.999813223757938,0.583333333333333,5000,5000,3,0.001,4,2,"5000 3 0.001 4","6"
"53",53,0.980551810259352,0.96223311007302,0.999625958481391,0.659340659340659,5000,5000,3,0.001,4,3,"5000 3 0.001 4","6"
"54",54,0.990342735680737,0.952202634523646,0.999627004848937,0.644736842105263,5000,5000,3,0.001,4,4,"5000 3 0.001 4","6"
"55",55,0.980244838241606,0.983166051957998,0.999254287844892,0.648648648648649,5000,5000,3,0.001,4,5,"5000 3 0.001 4","6"
"56",56,0.982682053212446,0.976470931317656,0.999813363195222,0.7,5000,5000,3,0.001,4,6,"5000 3 0.001 4","6"
"57",57,0.986079500043594,0.961975256603125,0.999440402909905,0.649350649350649,5000,5000,3,0.001,4,7,"5000 3 0.001 4","6"
"58",58,0.984425075548853,0.958940292789995,0.999813641446142,0.666666666666667,5000,5000,3,0.001,4,8,"5000 3 0.001 4","6"
"59",59,0.987878444115274,0.959179238840256,0.999813745576457,0.594202898550725,4999,5000,3,0.001,4,9,"5000 3 0.001 4","6"
"60",60,0.98683068175226,0.948232323232323,0.999625888514777,0.630434782608696,5000,5000,3,0.001,4,10,"5000 3 0.001 4","6"
"61",61,0.993469496424768,0.991660531202954,0.999626377732113,0.729411764705882,2278,5000,3,0.01,4,1,"5000 3 0.01 4","7"
"62",62,0.998430078588238,0.962350134301012,0.999626447515876,0.654761904761905,2398,5000,3,0.01,4,2,"5000 3 0.01 4","7"
"63",63,0.993994959619793,0.97448502498063,0.999251916962783,0.703296703296703,1572,5000,3,0.01,4,3,"5000 3 0.01 4","7"
"64",64,0.999549548939306,0.958487112035965,1,0.723684210526316,1659,5000,3,0.01,4,4,"5000 3 0.01 4","7"
"65",65,0.995604505538135,0.977949845818973,0.999254287844892,0.716216216216216,2618,5000,3,0.01,4,5,"5000 3 0.01 4","7"
"66",66,0.99889473672056,0.97803751399776,0.999440089585666,0.7875,3473,5000,3,0.01,4,6,"5000 3 0.01 4","7"
"67",67,0.997137066597884,0.969540718561424,0.999440402909905,0.714285714285714,1254,5000,3,0.01,4,7,"5000 3 0.01 4","7"
"68",68,0.998380133644496,0.956417981529797,0.999440924338427,0.736111111111111,2297,5000,3,0.01,4,8,"5000 3 0.01 4","7"
"69",69,0.998865145762052,0.963730325189426,0.99925498230583,0.623188405797101,1659,5000,3,0.01,4,9,"5000 3 0.01 4","7"
"70",70,0.99914594413954,0.952474625481872,0.999812944257389,0.673913043478261,1258,5000,3,0.01,4,10,"5000 3 0.01 4","7"
"71",71,0.985014215350677,0.991918770123405,0.999626377732113,0.658823529411765,5000,5000,4,0.001,4,1,"5000 4 0.001 4","8"
"72",72,0.990425913558137,0.957130405393386,0.999813223757938,0.583333333333333,5000,5000,4,0.001,4,2,"5000 4 0.001 4","8"
"73",73,0.987453257717774,0.965539883718302,0.999625958481391,0.659340659340659,5000,5000,4,0.001,4,3,"5000 4 0.001 4","8"
"74",74,0.996202437899846,0.954898260664717,0.999627004848937,0.671052631578947,5000,5000,4,0.001,4,4,"5000 4 0.001 4","8"
"75",75,0.988259849556364,0.985015216558841,0.999254287844892,0.689189189189189,5000,5000,4,0.001,4,5,"5000 4 0.001 4","8"
"76",76,0.985515878056159,0.979628592758492,0.999626726390444,0.7125,5000,5000,4,0.001,4,6,"5000 4 0.001 4","8"
"77",77,0.994178770198791,0.963995620123208,0.999440402909905,0.675324675324675,5000,5000,4,0.001,4,7,"5000 4 0.001 4","8"
"78",78,0.989210903772341,0.959729728330642,0.999813641446142,0.680555555555556,5000,5000,4,0.001,4,8,"5000 4 0.001 4","8"
"79",79,0.99499160268714,0.958608328542006,0.999627491152915,0.608695652173913,4997,5000,4,0.001,4,9,"5000 4 0.001 4","8"
"80",80,0.99543321828577,0.950671164137348,0.999812944257389,0.630434782608696,4999,5000,4,0.001,4,10,"5000 4 0.001 4","8"
"81",81,0.995748231401187,0.991991296798936,0.999626377732113,0.729411764705882,1549,5000,4,0.01,4,1,"5000 4 0.01 4","9"
"82",82,0.998575656126947,0.961745335041002,0.999626447515876,0.666666666666667,1720,5000,4,0.01,4,2,"5000 4 0.01 4","9"
"83",83,0.993285570950694,0.972181175846783,0.999251916962783,0.681318681318681,960,5000,4,0.01,4,3,"5000 4 0.01 4","9"
"84",84,0.999615028040861,0.957658915565677,0.999813502424469,0.697368421052632,1263,5000,4,0.01,4,4,"5000 4 0.01 4","9"
"85",85,0.99575009903484,0.982562680129794,0.999254287844892,0.716216216216216,1734,5000,4,0.01,4,5,"5000 4 0.01 4","9"
"86",86,0.998298919908826,0.975216965285554,0.999626726390444,0.775,2050,5000,4,0.01,4,6,"5000 4 0.01 4","9"
"87",87,0.998798653292839,0.967181205289767,0.999440402909905,0.701298701298701,1254,5000,4,0.01,4,7,"5000 4 0.01 4","9"
"88",88,0.999482720615682,0.957300596347372,0.999440924338427,0.736111111111111,1768,5000,4,0.01,4,8,"5000 4 0.01 4","9"
"89",89,0.99895120517956,0.962732919254658,0.999068727882287,0.623188405797101,1272,5000,4,0.01,4,9,"5000 4 0.01 4","9"
"90",90,0.999313780371045,0.955721669187853,0.999812944257389,0.652173913043478,888,5000,4,0.01,4,10,"5000 4 0.01 4","9"
