"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2"
"1",1,0.980899132816066,0.989470445379721,0.999626377732113,0.670588235294118,14999,15000,2,5e-04,4,1,"15000 2 5e-04 4","1"
"2",2,0.987760379371285,0.954203132504403,0.999813223757938,0.583333333333333,15000,15000,2,5e-04,4,2,"15000 2 5e-04 4","1"
"3",3,0.98043649456045,0.96090033026633,0.999625958481391,0.67032967032967,14997,15000,2,5e-04,4,3,"15000 2 5e-04 4","1"
"4",4,0.98828601452191,0.948710712813365,0.999627004848937,0.618421052631579,15000,15000,2,5e-04,4,4,"15000 2 5e-04 4","1"
"5",5,0.982529450304161,0.982257845093416,0.999254287844892,0.662162162162162,15000,15000,2,5e-04,4,5,"15000 2 5e-04 4","1"
"6",6,0.980999217124422,0.972275102650243,0.999813363195222,0.7,14998,15000,2,5e-04,4,6,"15000 2 5e-04 4","1"
"7",7,0.983424548796791,0.958842966397527,0.999440402909905,0.649350649350649,15000,15000,2,5e-04,4,7,"15000 2 5e-04 4","1"
"8",8,0.983428285684878,0.957855789539073,0.999813641446142,0.666666666666667,15000,15000,2,5e-04,4,8,"15000 2 5e-04 4","1"
"9",9,0.986516923280202,0.960843381624516,0.999813745576457,0.594202898550725,15000,15000,2,5e-04,4,9,"15000 2 5e-04 4","1"
"10",10,0.987885546102406,0.946674880853625,0.999812944257389,0.630434782608696,14999,15000,2,5e-04,4,10,"15000 2 5e-04 4","1"
"11",11,0.986092727825955,0.99150119229459,0.999626377732113,0.682352941176471,15000,15000,3,5e-04,4,1,"15000 3 5e-04 4","2"
"12",12,0.993876999268804,0.958136551221161,0.999813223757938,0.583333333333333,14997,15000,3,5e-04,4,2,"15000 3 5e-04 4","2"
"13",13,0.988940780953395,0.966451353023263,0.999625958481391,0.67032967032967,14996,15000,3,5e-04,4,3,"15000 3 5e-04 4","2"
"14",14,0.996753365512925,0.954881083256444,0.999627004848937,0.671052631578947,15000,15000,3,5e-04,4,4,"15000 3 5e-04 4","2"
"15",15,0.989925912560833,0.985487584900336,0.999254287844892,0.702702702702703,15000,15000,3,5e-04,4,5,"15000 3 5e-04 4","2"
"16",16,0.988973693994952,0.980874393430384,0.999626726390444,0.7125,15000,15000,3,5e-04,4,6,"15000 3 5e-04 4","2"
"17",17,0.994421037622065,0.964068295069974,0.999440402909905,0.688311688311688,15000,15000,3,5e-04,4,7,"15000 3 5e-04 4","2"
"18",18,0.991651305103396,0.95905806104278,0.999627282892285,0.694444444444444,15000,15000,3,5e-04,4,8,"15000 3 5e-04 4","2"
"19",19,0.996072126484742,0.965413363349988,0.999627491152915,0.608695652173913,15000,15000,3,5e-04,4,9,"15000 3 5e-04 4","2"
"20",20,0.996183151225651,0.951962255404284,0.999625888514777,0.630434782608696,15000,15000,3,5e-04,4,10,"15000 3 5e-04 4","2"
"21",21,0.988481287083523,0.991904484566104,0.999626377732113,0.694117647058824,14999,15000,4,5e-04,4,1,"15000 4 5e-04 4","3"
"22",22,0.996074841979836,0.959497349556184,0.999813223757938,0.595238095238095,15000,15000,4,5e-04,4,2,"15000 4 5e-04 4","3"
"23",23,0.993049025927306,0.969251526479879,0.999625958481391,0.67032967032967,14980,15000,4,5e-04,4,3,"15000 4 5e-04 4","3"
"24",24,0.998513624394713,0.956520298788747,0.999440507273405,0.684210526315789,14994,15000,4,5e-04,4,4,"15000 4 5e-04 4","3"
"25",25,0.992054659192867,0.986291240905335,0.999254287844892,0.702702702702703,14998,15000,4,5e-04,4,5,"15000 4 5e-04 4","3"
"26",26,0.990868760955062,0.981217338559164,0.999626726390444,0.7375,15000,15000,4,5e-04,4,6,"15000 4 5e-04 4","3"
"27",27,0.996717696465938,0.965652608909464,0.999440402909905,0.688311688311688,15000,15000,4,5e-04,4,7,"15000 4 5e-04 4","3"
"28",28,0.993607115926683,0.959140887066716,0.999813641446142,0.694444444444444,15000,15000,4,5e-04,4,8,"15000 4 5e-04 4","3"
"29",29,0.997754631561379,0.966273102971703,0.999627491152915,0.623188405797101,14999,15000,4,5e-04,4,9,"15000 4 5e-04 4","3"
"30",30,0.9989253027126,0.955244880365653,0.999812944257389,0.641304347826087,14993,15000,4,5e-04,4,10,"15000 4 5e-04 4","3"
"31",31,0.968937081621786,0.988714409731761,0.999626377732113,0.658823529411765,5000,5000,2,0.001,4,1,"5000 2 0.001 4","4"
"32",32,0.982839102315959,0.950488731166729,0.999813223757938,0.55952380952381,5000,5000,2,0.001,4,2,"5000 2 0.001 4","4"
