"","gtip","X","treename","traitname","pcr","competence","gen","fam","ord","clade","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","upper_elevation_m","lower_elevation_m","altitude_breadth_m","habitat_breadth_n","X2.1_AgeatEyeOpening_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X7.1_DispersalAge_d","X22.2_HomeRange_Indiv_km2","X13.2_NeonateHeadBodyLen_mm","X10.1_PopulationGrpSize","X13.3_WeaningHeadBodyLen_mm","hibernation_torpor","fossoriality","freshwater","marine","terrestrial_non.volant","terrestrial_volant","island_dwelling","disected_by_mountains","glaciation","trophic_herbivores","trophic_omnivores","trophic_carnivores","activity_nocturnal","activity_crepuscular","activity_diurnal","forager_marine","forager_ground","forager_scansorial","forager_arboreal","forager_aerial","island_end_marine","island_end_mainland","island_end_lgbridge","island_end_isolated","biogeo_afrotropical","biogeo_antarctic","biogeo_australasian","biogeo_indomalayan","biogeo_nearctic","biogeo_neotropical","biogeo_oceanian","biogeo_palearctic","cites","ed_equal","studied"
"1","Abditomys",1,"Abditomys","Abditomys",0,0,"Abditomys","MURIDAE","RODENTIA","Mouse-related",268.09,2.91,228,NA,971.896,NA,124.913,NA,166.631,35.373,NA,2.328,3.686,55.581,NA,27.621,NA,649.101,0.514,NA,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,18.5660300500978,0
"2","Abeomelomys",2,"Abeomelomys","Abeomelomys",0,0,"Abeomelomys","MURIDAE","RODENTIA","Mouse-related",57.89,1.49,158.645,NA,1186.332,NA,167.752,NA,194.735,36.734,4,1,2.362,90.95,NA,36.87,NA,745.935,0.221,NA,NA,NA,19,3,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3100,1400,1700,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,11.3380388349781,0
"3","Abrawayaomys",3,"Abrawayaomys","Abrawayaomys",0,0,"Abrawayaomys","CRICETIDAE","RODENTIA","Mouse-related",62.99,1.161,169.117,NA,1023.801,NA,85.15,NA,113.733,25.626,NA,3.843,3.261,35.812,NA,23.94,NA,525.742,0.232,NA,NA,NA,11,1,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,13.6551888656817,0
"4","Abrocoma",4,"Abrocoma","Abrocoma",0,0,"Abrocoma","ABROCOMIDAE","RODENTIA","Guinea_pig-related",221.82,3.232,201,NA,395.417,NA,248.153,NA,324.7475,112.269,NA,1.995,1.9465,117.668,12.755,39.7515,NA,1038.3835,0.463,102.5,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,3000,2425,470,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0.25,0,0,1,0,0,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,20.5018451622583,0
"5","Abrothrix",5,"Abrothrix","Abrothrix",0,0,"Abrothrix","CRICETIDAE","RODENTIA","Mouse-related",34.5,0.929,140,NA,934.094,111.055,72.928,NA,102.767,23.826,NA,4.174,3.537,27.552,3.145,23.08,65.53,453.268,0.166,1598.3335,0,NA,55,0,44,30,0,0,0,0,0,0,0,0,70,2,2500,700,1800,2,NA,53.4,30.8,NA,0.000464461,NA,NA,NA,0,0.714285714285714,0,0,1,0,0,0.571428571428571,0.571428571428571,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.875,0,0,40,13.3732374435587,0
"6","Acinonyx",6,"Acinonyx","Acinonyx",1,1,"Acinonyx","FELIDAE","CARNIVORA","Feliformes",50577.92,115.012,1490.215,NA,7482.5,741.97,598.985,456,1217.27,90.12,12,3.04,0.7,541.879,465.33,107,1940,2190,44.448,0.021,88.27,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,4000,0,4000,4,9.03,17115,48900,465,94.38,250,NA,NA,0,1,0,0,1,0,NA,NA,NA,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,519,2.4195577067256,1
"7","Acomys",7,"Acomys","Acomys",0,0,"Acomys","MURIDAE","RODENTIA","Mouse-related",43.6,1.594,175,NA,2731.417,58.5,58,59,103,38,5,2.47,3.5,33.977,5.49,14,12.58,696.6,1.108,331.042,5e-04,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,1000,325,850,2,7.5,63.775,29.635,NA,0.0006290805,41.5,NA,NA,0,1,0,0,1,0,0.111111111111111,0.666666666666667,0,0.0476190476190476,0.238095238095238,0.714285714285714,0,1,0,0,1,0,0,0,0,0.888888888888889,0,0.111111111111111,0.714285714285714,0,0,0,0,0,0,0.333333333333333,3221899,26.5950170730894,0
"8","Aconaemys",8,"Aconaemys","Aconaemys",0,0,"Aconaemys","OCTODONTIDAE","RODENTIA","Guinea_pig-related",120.975,2.974,187,NA,1441.069,NA,235.973,NA,313.45,89.436,NA,3.23,2.049,105.035,NA,32.794,NA,842.583,0.332,NA,NA,NA,0,0,100,0,0,0,0,0,0,40,0,0,60,2,4000,NA,NA,2,NA,120.96,112,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,1,1,0,0,0.333333333333333,0,0.666666666666667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,5.53842093146745,0
"9","Addax",9,"Addax","Addax",0,0,"Addax","BOVIDAE","CETARTIODACTYLA","Ruminantia",94288.68,201.5,1700,NA,10293,947.495,947.495,NA,1066.86,276,4,1,1,357.255,5600,198,NA,2555,12.92,0,NA,12.62,0,0,100,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,61.25,NA,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,48,4.98137832147508,0
"10","Aegialomys",10,"Aegialomys","Aegialomys",0,0,"Aegialomys","CRICETIDAE","RODENTIA","Mouse-related",71.65,1.2285,162.9275,NA,795.2615,NA,82.7175,NA,112.267,26.7835,NA,3.8235,4.3515,35.6655,NA,22.905,NA,525.5665,0.2485,2290,NA,NA,20,0,80,20,0,0,0,0,0,20,0,20,40,4,1800,500,1300,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,0,1,0,0,1,0,0,1,0,0,0,0,0.5,0,0.5,0,0,0,0,0,1,0,0,2,6.82732457147155,0
"11","Aepeomys",11,"Aepeomys","Aepeomys",0,0,"Aepeomys","CRICETIDAE","RODENTIA","Mouse-related",38.8,0.914,129.5965,NA,1090.4795,NA,72.1645,NA,101.0395,23.4345,NA,4.021,3.422,28.8315,NA,23.487,NA,457.3465,0.1775,NA,NA,NA,2.5,0,97.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3365,1750,1615,3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,15.2626853744721,0
"12","Aepyceros",12,"Aepyceros","Aepyceros",0,0,"Aepyceros","BOVIDAE","CETARTIODACTYLA","Ruminantia",52500,173.567,1460,NA,9344,498.97,477.485,395,730,196.74,4,1,1,364.75,5304.2,167,15900,2674.112,9.363,9.937,1.97,15.25,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1700,0,1700,2,NA,NA,NA,NA,2.36,NA,NA,NA,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,163,12.8063201372051,0
"13","Aeretes",13,"Aeretes","Aeretes",0,0,"Aeretes","SCIURIDAE","RODENTIA","Squirrel-related",246.434,4.375,305,NA,2474.86,NA,339.322,NA,383.496,47.626,NA,2.394,1.692,154.063,NA,63.804,NA,1288.288,0.491,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.22682978876628,0
"14","Aeromys",14,"Aeromys","Aeromys",0,0,"Aeromys","SCIURIDAE","RODENTIA","Squirrel-related",1308.595,10.299,384.09,NA,4665.27,NA,645.6805,NA,713.507,63.595,NA,1.122,1.726,238.532,NA,76.8625,NA,2027.767,1.228,NA,NA,NA,10,0,90,10,0,0,0,0,0,30,0,30,30,3,1600,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,1,0,0.5,0.5,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,1,0,0,0,0,1,11.6379949996651,0
"15","Aethomys",15,"Aethomys","Aethomys",0,0,"Aethomys","MURIDAE","RODENTIA","Mouse-related",82.76,1.372,162.76,NA,894.273,96.05,104.524,NA,133.062,25.716,NA,3.02,3.163,43.279,5.27,26.876,35.26,572.931,0.269,1334.107,0.001,NA,0,0,100,0,0,0,0,0,0,20,0,20,60,3,NA,NA,NA,2,11.25,NA,NA,NA,0.000777976,NA,NA,NA,0,1,0,0,1,0,0,0.25,0,0.777777777777778,0.222222222222222,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,33,11.5251815817353,0
"16","Ailuropoda",16,"Ailuropoda","Ailuropoda",0,0,"Ailuropoda","URSIDAE","CARNIVORA","Caniformes",117500,242.727,1422.99,NA,13432,2413.02,2351.485,2192,2504.515,131.179,NA,1.54,0.7,592.969,109.29,182,21999.99,5246.699,14.582,0.18,3.55,NA,0,10,90,0,10,0,0,0,0,0,0,0,90,1,4100,1200,2900,1,NA,NA,NA,540,3.76,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2968,22.7081427142813,0
"17","Ailurus",17,"Ailurus","Ailurus",1,1,"Ailurus","AILURIDAE","CARNIVORA","Caniformes",4747.54,42.491,608.66,NA,6935,604.05,571.903,550,760.41,123.437,4,2,1,364.75,102.02,136.935,1140,3650,2.497,NA,1.43,NA,10,10,80,10,10,0,0,0,0,10,0,10,60,1,4800,2500,2300,1,18,838.36,5345,270,1.52,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,157,24.9911817066703,1
"18","Akodon",18,"Akodon","Akodon",0,0,"Akodon","CRICETIDAE","RODENTIA","Mouse-related",33.075,0.815,140,NA,971.911,61.87,71.848,NA,102.507,24.239,NA,3.595,3.585,29.003,2.97,22.531,NA,437.596,0.163,4061.265,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,3150,1130,1900,2,NA,43.225,27.25,NA,NA,NA,NA,NA,0,1,0,0,1,0,0.0303030303030303,0.272727272727273,0,0,0.951219512195122,0.048780487804878,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,265,9.03832340138402,0
"19","Alcelaphus",19,"Alcelaphus","Alcelaphus",0,0,"Alcelaphus","BOVIDAE","CETARTIODACTYLA","Ruminantia",159938.92,294.833,2151.663,NA,5828.847,711.99,670.153,NA,927.7,240.637,2,0.997,1.077,358.255,11777.78,193,47894.46,2863.875,17.277,0.967,3.57,15,0,0,100,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,4,NA,NA,NA,NA,1.59,NA,NA,NA,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,40,4.95153333847508,0
"20","Alces",20,"Alces","Alces",0,0,"Alces","CERVIDAE","CETARTIODACTYLA","Ruminantia",359750,424.994,2972.852,NA,9855,649.785,700.745,612,1046.515,241.975,4,1.28,1.117,364.75,13013.632,106.022,92125,3566.176,26.984,0.648,71.75,1,0,0,100,0,0,0,0,0,0,0,0,0,100,1,2500,0,2500,2,NA,NA,NA,NA,73.26,NA,NA,NA,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,630,10.2734258147103,0
"21","Allactaga",21,"Allactaga","Allactaga",0,0,"Allactaga","DIPODIDAE","RODENTIA","Mouse-related",76.5,1.641,162.553,NA,1533,123.61,179.798,142,204.831,30.159,NA,3.93,2,93.966,NA,35.934,NA,740.691,0.258,NA,NA,NA,20,0,80,20,0,0,0,0,0,0,0,50,30,3,2500,280,2070,2,14,NA,NA,NA,NA,NA,NA,NA,0.153846153846154,1,0,0,1,0,0,0.333333333333333,0,0.538461538461538,0.384615384615385,0.0769230769230769,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.923076923076923,19,14.537903674767,0
"22","Allactodipus",22,"Allactodipus","Allactodipus",0,0,"Allactodipus","DIPODIDAE","RODENTIA","Mouse-related",65,1.574,144.649,NA,1269.2,NA,155.364,NA,174.285,27.715,NA,5.15,2.209,84.068,NA,34.296,NA,691.11,0.236,NA,NA,NA,20,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,9.76522536738352,0
"23","Allenopithecus",23,"Allenopithecus","Allenopithecus",0,0,"Allenopithecus","CERCOPITHECIDAE","PRIMATES","Catarrhini",4690,53.7,459.995,NA,10019.25,NA,1452.4,NA,1528.34,165.591,NA,1,0.931,470.453,221,106.15,NA,3723.024,2.48,NA,NA,40,50,0,50,50,0,0,0,0,0,50,0,0,0,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,15,9.80375493481484,1
"24","Allocebus",24,"Allocebus","Allocebus",0,0,"Allocebus","CHEIROGALEIDAE","PRIMATES","Strepsirrhini",78.09,7.06,133.495,NA,3278.917,NA,553.338,NA,650.773,127.009,NA,1,1,333.042,NA,93.138,57.15,1977.57,0.261,18,NA,1,0,0,100,0,0,0,0,0,0,50,0,0,50,2,1600,NA,NA,1,NA,NA,NA,NA,NA,NA,2,125,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,451,14.6123689400977,0
"25","Allocricetulus",25,"Allocricetulus","Allocricetulus",0,0,"Allocricetulus","CRICETIDAE","RODENTIA","Mouse-related",73.129,1.4715,250,NA,924.667,NA,105.019,NA,129.3315,17.045,NA,5.09,2,54.612,NA,25.0165,NA,540.518,0.2395,NA,NA,NA,15,0,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,0.5,0.5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,9.75343058255048,0
"26","Alouatta",26,"Alouatta","Alouatta",1,1,"Alouatta","ATELIDAE","PRIMATES","Platyrrhini",6330.555,55.442,737.605,NA,9125,1681.4915,1610.482,1103,1685.1075,187.384,NA,1.071,0.7905,486.4065,293.42,372,1100,3833.157,2.925,40.031,0.1,7.9,0,0,100,0,0,0,0,0,0,40,0,0,60,2,1160,10,1150,2,NA,2027.4,4670,NA,0.31,NA,NA,NA,0,0,0,0,1,0,0,0.555555555555556,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.785714285714286,0,0,816,12.7334456131797,1
"27","Alticola",27,"Alticola","Alticola",0,0,"Alticola","CRICETIDAE","RODENTIA","Mouse-related",36.845,0.8315,140,NA,1058.071,NA,74.152,NA,101.918,24.4475,NA,4.435,4.5225,28.5935,3,25.353,15,465.86,0.1725,NA,NA,9.5,0,0,100,0,0,0,0,0,0,0,0,0,100,1,3000,1500,1900,2,12,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0.666666666666667,0,1,0,0,0,0.666666666666667,0.333333333333333,0,1,0,0,0,0,1,0,0,0,0,0,0.166666666666667,0,0,0,0.916666666666667,65,8.46633828687825,0
"28","Ammodillus",28,"Ammodillus","Ammodillus",0,0,"Ammodillus","MURIDAE","RODENTIA","Mouse-related",49.99,0.951,100.745,NA,1299.649,NA,87.932,NA,120.139,26.142,NA,3.652,3.174,46.634,NA,26.843,NA,602.774,0.204,NA,NA,NA,30,2,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13.7466157074862,0
"29","Ammodorcas",29,"Ammodorcas","Ammodorcas",0,0,"Ammodorcas","BOVIDAE","CETARTIODACTYLA","Ruminantia",28274.905,104.655,1339.98,NA,1095,NA,442.902,NA,544,203.482,4,1,1.431,239.244,NA,104.539,NA,2555,6.662,0.73,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1200,200,1000,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.48829523834876,0
"30","Ammospermophilus",30,"Ammospermophilus","Ammospermophilus",0,0,"Ammospermophilus","SCIURIDAE","RODENTIA","Squirrel-related",118.6825,2.531,161.6275,NA,2968.6665,377.37,358.078,365,392.188,29.273,12,8.45,1.125,262.9515,3.7,44.801,38,1086.024,0.328,19.73,0.035,7,20,10,70,20,0,0,0,0,10,20,0,20,30,4,1225,50,1050,2.5,33.25,93.88,95.7,NA,0.045,NA,NA,NA,0.25,1,0,0,1,0,0,0.75,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.25,0,0,21,14.0465104125091,0
"31","Ammotragus",31,"Ammotragus","Ammotragus",0,0,"Ammotragus","BOVIDAE","CETARTIODACTYLA","Ruminantia",92500,209.75,1549.995,NA,7920.5,507.09,394.096,NA,407.58,151.807,3,1.22,2,220.804,4500,121.872,NA,1825,12.785,NA,7.06,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,4100,200,3900,5,NA,NA,NA,NA,6.62,NA,NA,NA,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,74,5.4396989437625,0
"32","Amphinectomys",32,"Amphinectomys","Amphinectomys",0,0,"Amphinectomys","CRICETIDAE","RODENTIA","Mouse-related",214,2.493,246.865,NA,1133.326,NA,110.62,NA,151.305,28.613,NA,4.041,3.937,49.194,NA,23.709,NA,608.103,0.454,NA,NA,NA,24,22,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,300,200,100,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,0,NA,NA,NA,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,9.77178278738619,0
"33","Andalgalomys",33,"Andalgalomys","Andalgalomys",0,0,"Andalgalomys","CRICETIDAE","RODENTIA","Mouse-related",29.15,0.7105,117.47,NA,784.568,NA,55.688,NA,85.0595,23.9955,NA,4.3885,3.6495,25.7785,NA,20.7795,NA,355.283,0.1515,NA,NA,NA,9.5,0,90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,400,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11.6345384630146,0
"34","Andinomys",34,"Andinomys","Andinomys",0,0,"Andinomys","CRICETIDAE","RODENTIA","Mouse-related",69.75,1.416,165,NA,1067.259,NA,123.49,NA,152.188,28.41,NA,2.91,3.03,42.802,NA,23.809,NA,570.593,0.245,NA,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,5100,650,4450,3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,13.3078309965173,0
"35","Anisomys",35,"Anisomys","Anisomys",0,0,"Anisomys","MURIDAE","RODENTIA","Mouse-related",510.5,4,281.915,NA,998.949,NA,162.36,NA,199.982,37.37,6,2.043,2.782,73.973,NA,33.406,330.58,719.88,0.732,NA,NA,NA,0,0,100,0,0,0,0,0,0,0,60,0,40,2,3500,1200,2300,1,NA,NA,NA,NA,NA,NA,NA,248.99,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12.6581026430811,0
"36","Anomalurus",36,"Anomalurus","Anomalurus",0,0,"Anomalurus","ANOMALURIDAE","RODENTIA","Mouse-related",602.0175,6.291,318.659,NA,2624.622,NA,334.3965,NA,352.5315,50.4365,NA,1.6155,1.9625,144.716,185,55.416,NA,1175.066,0.794,22.75,0.04,1,10,0,90,10,0,0,0,0,0,40,10,0,40,2,NA,NA,NA,1,NA,NA,NA,NA,0.04,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,10,32.2828444102813,0
"37","Anonymomys",37,"Anonymomys","Anonymomys",0,0,"Anonymomys","MURIDAE","RODENTIA","Mouse-related",56.21,1.044,123.925,NA,996.121,NA,95.008,NA,125.657,26.538,NA,3.307,3.339,39.644,NA,26.324,NA,570.626,0.218,NA,NA,NA,43,0,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.34730401710754,0
"38","Anotomys",38,"Anotomys","Anotomys",0,0,"Anotomys","CRICETIDAE","RODENTIA","Mouse-related",66.39,2.206,122,NA,1807.312,NA,186.571,NA,228.648,40.358,NA,0.97,2.105,110.645,NA,42.798,NA,842.954,1.721,NA,NA,NA,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4000,2860,1140,3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,6.57452569337897,0
"39","Anourosorex",39,"Anourosorex","Anourosorex",0,0,"Anourosorex","SORICIDAE","EULIPOTYPHLA","Soricidae",20,0.689,101.38,NA,796.877,NA,266.3195,NA,311.322,27.198,NA,2.82,1.9655,104.0015,NA,32.249,NA,566.058,0.956,190,NA,NA,87.5,11.5,1,100,0,0,0,0,0,0,0,0,0,1,3100,900,2150,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0.75,0.25,0,0,0,0,1,0,0,0,0.25,15,36.6912803240391,0
"40","Antidorcas",40,"Antidorcas","Antidorcas",0,0,"Antidorcas","BOVIDAE","CETARTIODACTYLA","Ruminantia",34000,124.682,1349.707,NA,6159.263,331.73,418.108,565.25,548.869,189.11,NA,1.046,1.342,262.154,3910,120.073,NA,2304.912,7.321,1.356,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,2000,0,2000,3,NA,NA,NA,NA,NA,NA,3000,NA,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,0,0,0,76,6.59126821462446,0
"41","Antilocapra",41,"Antilocapra","Antilocapra",0,0,"Antilocapra","ANTILOCAPRIDAE","CETARTIODACTYLA","Ruminantia",45375,125.6,1405,NA,5657.5,534.68,540.84,547,365,247.445,NA,1.89,1,364.75,3246.36,91,8900,1652.842,8.641,0.82,8.05,12,0,0,100,0,0,0,0,0,0,0,0,0,100,1,3350,0,3350,3,NA,8960,32000,NA,9.53,NA,1000,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,102,23.632588582582,0
"42","Antilope",42,"Antilope","Antilope",0,0,"Antilope","BOVIDAE","CETARTIODACTYLA","Ruminantia",37500,136,1225,NA,8723.5,700.04,539.338,NA,669.16,167.699,NA,1,1.9,221.628,3848,60,NA,2747.35,7.781,0.04,0.62,30,0,0,100,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,27.5,NA,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,64,4.52219278383611,0
"43","Aonyx",43,"Aonyx","Aonyx",0,0,"Aonyx","MUSTELIDAE","CARNIVORA","Caniformes",21411.11,98.037,907.6,NA,5183,371.23,368.231,365,434.225,63,4,2.56,1.675,240.875,1050,53.132,3360,2354.85,29.169,0.35,99.74,NA,80,20,0,80,0,20,0,0,0,0,0,0,0,2,2200,0,2200,5,27.11,NA,NA,365,119.27,NA,NA,NA,0,1,1,0.666666666666667,1,0,0.5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0,971,3.39342327212528,0
"44","Aotus",44,"Aotus","Aotus",0,0,"Aotus","AOTIDAE","PRIMATES","Platyrrhini",872.995,17.199,363.995,NA,10950,755.15,774.113,730,889.981,143.954,NA,1.02,1.116,336.983,98,124.663,360,2920,0.984,19.512,0.02,3.3,20,10,70,20,0,0,0,10,0,20,10,20,20,4,1775,65,1575,1,NA,459.45,972.5,NA,0.05,NA,NA,NA,0,0,0,0,1,0,0,0.166666666666667,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1765,16.7703760487297,0
"45","Aplodontia",45,"Aplodontia","Aplodontia",0,0,"Aplodontia","APLODONTIIDAE","RODENTIA","Squirrel-related",706.8,6.45,383.475,NA,3650,827.69,770.707,730,730,29.914,NA,2.8,1,365,23.35,55.831,369.76,1576.8,0.876,778.39,0.001,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,2,NA,414.73,793,NA,0.001686246,NA,NA,NA,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,27,53.3662199345313,0
