"","gtip","X","treename","traitname","pcr","competence","gen","fam","ord","clade","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","upper_elevation_m","lower_elevation_m","altitude_breadth_m","habitat_breadth_n","X2.1_AgeatEyeOpening_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X7.1_DispersalAge_d","X22.2_HomeRange_Indiv_km2","X13.2_NeonateHeadBodyLen_mm","X10.1_PopulationGrpSize","X13.3_WeaningHeadBodyLen_mm","hibernation_torpor","fossoriality","freshwater","marine","terrestrial_non.volant","terrestrial_volant","island_dwelling","disected_by_mountains","glaciation","trophic_herbivores","trophic_omnivores","trophic_carnivores","activity_nocturnal","activity_crepuscular","activity_diurnal","forager_marine","forager_ground","forager_scansorial","forager_arboreal","forager_aerial","island_end_marine","island_end_mainland","island_end_lgbridge","island_end_isolated","biogeo_afrotropical","biogeo_antarctic","biogeo_australasian","biogeo_indomalayan","biogeo_nearctic","biogeo_neotropical","biogeo_oceanian","biogeo_palearctic","cites","ed_equal","studied"
"543","Mungotictis",543,"Mungotictis","Mungotictis",0,0,"Mungotictis","EUPLERIDAE","CARNIVORA","Feliformes",678.515,14.179,330.59,NA,4157.958,755.15,748.742,NA,855.065,100.178,2,0.995,1.643,266.939,49.565,42.181,NA,2146.947,5.375,7.33,1.19,NA,80,20,0,80,0,0,0,20,0,0,0,0,0,2,125,0,125,2,0,NA,NA,729.99,NA,NA,2,NA,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3.1283918359106,0
"544","Muntiacus",544,"Muntiacus","Muntiacus",0,0,"Muntiacus","CERVIDAE","CETARTIODACTYLA","Ruminantia",17611.59,92.6665,1188.012,NA,6260.752,338.33,339.711,332,501.74,208.7755,NA,1.086,1.35,240.835,1310.8,91.7615,NA,2190,5.134,1.342,0.12,NA,0,0,100,0,0,0,0,0,0,20,0,0,80,2,2830,125,1400,1,NA,NA,NA,NA,0.11,NA,NA,NA,0,1,0,0,1,0,0.333333333333333,0.833333333333333,0,1,0,0,0,1,0,0,1,0,0,0,0,0.833333333333333,0.166666666666667,0,0,0,0,0.923076923076923,0,0,0,0.153846153846154,285,9.36512080738525,0
"545","Muriculus",545,"Muriculus","Muriculus",0,0,"Muriculus","MURIDAE","RODENTIA","Mouse-related",18.5,0.57,95,NA,1223.73,NA,86.199,NA,114.291,25.626,NA,3.684,3.401,33.91,NA,26.309,NA,511.637,0.118,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3400,1900,1500,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,18.4998414561302,0
"546","Mus",546,"Mus","Mus",1,1,"Mus","MURIDAE","RODENTIA","Mouse-related",17.7,0.481,95,NA,1407.62,68.5,74.355,63,97.245,21.61,10,4.24,3.605,32.933,1.25,24.464,6.725,498.582,0.119,814.02,5e-04,NA,20,0,80,20,0,0,0,0,0,0,0,20,60,3,2000,200,1000,2,14.5,56.76,21.8,NA,0.000401661,23.74,NA,49.99,0,0.948717948717949,0,0,1,0,0,0.75,0,0.0512820512820513,0.923076923076923,0.0256410256410256,1,0,0,0,1,0,0,0,0,0.871794871794872,0.102564102564103,0.0256410256410256,0.461538461538462,0,0.0256410256410256,0.435897435897436,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.205128205128205,18074,15.5589205700151,1
"547","Muscardinus",547,"Muscardinus","Muscardinus",0,0,"Muscardinus","GLIRIDAE","RODENTIA","Squirrel-related",27.315,1.242,83.185,NA,2190,346.11,346.11,335,370.095,24.044,NA,4.3,1.5,49.966,0.8,38.654,NA,874.731,0.146,NA,0.003,NA,10,0,90,10,0,0,0,0,0,10,70,0,10,1,1920,NA,NA,1,18,NA,NA,NA,0.002902243,NA,NA,NA,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,39,6.5694129419541,0
"548","Musseromys",548,"Musseromys","Musseromys",0,0,"Musseromys","MURIDAE","RODENTIA","Mouse-related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1460,1135,325,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,16.5945434010664,0
"549","Mustela",549,"Mustela","Mustela",0,0,"Mustela","MUSTELIDAE","CARNIVORA","Caniformes",498.55,6.993,305.73,NA,3650,185.34,312,321.25,365,38.248,9,5.085,1.5,236.713,2.85,52.805,44.565,1497.507,4.622,4.125,0.17,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3480,0,2565,3,31.5,206.4,204.38,89.99,0.22,49.99,NA,NA,0,0.947368421052632,0.0526315789473684,0,1,0,0.133333333333333,0.733333333333333,0.266666666666667,0,0,1,0.31578947368421,0.68421052631579,0,0,0.947368421052632,0.0526315789473684,0,0,0,0.894736842105263,0.0526315789473684,0.0526315789473684,0,0,0,0.31578947368421,0.210526315789474,0.157894736842105,0,0.526315789473684,11778,8.07616511540887,0
"550","Mydaus",550,"Mydaus","Mydaus",0,0,"Mydaus","MEPHITIDAE","CARNIVORA","Caniformes",2500,17.7985,450.1925,NA,5927.62,NA,421.73,NA,399.5,69.204,6,2.3345,1.861,230.774,NA,83.801,NA,2289.5025,10.184,NA,NA,NA,80,0,20,80,0,0,0,0,0,0,0,0,20,2,1150,0,1150,4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,1,1,0,0,0,1,0.5,0.5,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,1,0,0,0,0,4,22.3066515018203,0
"551","Mylodon",551,"Mylodon","Mylodon",0,0,"Mylodon","Mylodontidae","PILOSA","Xenarthra",1392470,816.669,3247.541,NA,13826.92,NA,1390.324,NA,1671.139,443.265,NA,1.137,0.603,705.503,NA,336.759,NA,4950.792,46.267,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,41.964903164625,0
"552","Mylomys",552,"Mylomys","Mylomys",0,0,"Mylomys","MURIDAE","RODENTIA","Mouse-related",110.96,1.5095,199.25,NA,1111.1275,NA,98.739,NA,130.706,27.0075,NA,4.04,3.2405,42.3085,NA,26.398,NA,588.3695,0.316,167.41,NA,NA,0.5,0.5,99,0,0,0,0,0,0,0,0,0,100,1,2300,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,6.45013092573346,0
