"","Host","gtip","intree","intraits"
"1023","Piliocolobus_badius","Piliocolobus","missing","traits"
"1024",NA,"Pipanacoctomys","upham","missing"
"147",NA,"Calassomys","upham","missing"
"955",NA,"Paralomys","upham","missing"
"970",NA,"Pearsonomys","upham","missing"
"635",NA,"Liomys","upham","missing"
"907",NA,"Oreonax","upham","missing"
"1076",NA,"Pseudalopex","upham","missing"
